Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,1005264,1005264,100.0,0,0.0
2,mandt,1005264,1005264,100.0,0,0.0
3,objnr,1005264,1005264,100.0,0,0.0
4,fcontr,1005264,1005264,100.0,0,0.0
5,stsfl,1005264,1005264,100.0,0,0.0
6,sedat,1005264,1005264,100.0,0,0.0
7,sezet,1005264,1005264,100.0,0,0.0
8,senam,1005264,1005264,100.0,0,0.0
9,cmdat,1005264,1005264,100.0,0,0.0
10,cmzet,1005264,1005264,100.0,0,0.0
11,cmnam,1005264,1005264,100.0,0,0.0
12,trigr,1005264,1005264,100.0,0,0.0
13,fstat,1005264,1005264,100.0,0,0.0
14,src_commit_time,1005264,1005264,100.0,0,0.0
