Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,4706054,4706054,100.0,0,0.0
2,mandt,4706054,4706054,100.0,0,0.0
3,imwsknr3,4706054,4706054,100.0,0,0.0
4,imwsbp3,4706054,4706054,100.0,0,0.0
5,imwskz3,4706054,4706054,100.0,0,0.0
6,imwsknr2,4706054,4706054,100.0,0,0.0
7,imwsbp2,4706054,4706054,100.0,0,0.0
8,imwskz2,4706054,4706054,100.0,0,0.0
9,imwsknr1,4706054,4706054,100.0,0,0.0
10,imwsbp1,4706054,4706054,100.0,0,0.0
11,imwskz1,4706054,4706054,100.0,0,0.0
12,mwsknr3,4706054,4706054,100.0,0,0.0
13,mwsbp3,4706054,4706054,100.0,0,0.0
14,mwskz3,4706054,4706054,100.0,0,0.0
15,mwsknr2,4706054,4706054,100.0,0,0.0
16,mwsbp2,4706054,4706054,100.0,0,0.0
17,mwskz2,4706054,4706054,100.0,0,0.0
18,mwsknr1,4706054,4706054,100.0,0,0.0
19,mwsbp1,4706054,4706054,100.0,0,0.0
20,adjcod,4706054,4706054,100.0,0,0.0
21,rstgr,4706054,4706054,100.0,0,0.0
22,saknr,4706054,4706054,100.0,0,0.0
23,kblnr_adj,4706054,4706054,100.0,0,0.0
24,zp_datbi,4706054,4706054,100.0,0,0.0
25,zp_datab,4706054,4706054,100.0,0,0.0
26,zzpqnum,4706054,4706054,100.0,0,0.0
27,zcanrsn,4706054,4706054,100.0,0,0.0
28,zp_exl,4706054,4706054,100.0,0,0.0
29,fncnt,4706054,4706054,100.0,0,0.0
30,kblpos_adj,4706054,4706054,100.0,0,0.0
31,kblpos,4706054,4706054,100.0,0,0.0
32,kostl,4706054,4706054,100.0,0,0.0
33,kblnr,4706054,4706054,100.0,0,0.0
34,spdtyp,4706054,4706054,100.0,0,0.0
35,gsber,4706054,4706054,100.0,0,0.0
36,prctr,4706054,4706054,100.0,0,0.0
37,aufnr,4706054,4706054,100.0,0,0.0
38,ps_psp_nr,4706054,4706054,100.0,0,0.0
39,paobjnr,4706054,4706054,100.0,0,0.0
40,mwskz1,4706054,4706054,100.0,0,0.0
41,sawaers,4706054,4706054,100.0,0,0.0
42,saamt,4706054,4706054,100.0,0,0.0
43,depcmp,4706054,4706054,100.0,0,0.0
44,zp_knumh,4706054,4706054,100.0,0,0.0
45,zp_kschl,4706054,4706054,100.0,0,0.0
46,zp_knuma_ag,4706054,4706054,100.0,0,0.0
47,zp_matnr,4706054,4706054,100.0,0,0.0
48,zpkunrg07,4706054,4706054,100.0,0,0.0
49,zpwrkst,4706054,4706054,100.0,0,0.0
50,subcmp,4706054,4706054,100.0,0,0.0
51,timestamp,4706054,4706054,100.0,0,0.0
52,zpkbetr,4706054,4706054,100.0,0,0.0
53,fgpcntr,4706054,4706054,100.0,0,0.0
54,fgcntr,4706054,4706054,100.0,0,0.0
55,cntr,4706054,4706054,100.0,0,0.0
56,prdmode,4706054,4706054,100.0,0,0.0
57,sgjahr,4706054,4706054,100.0,0,0.0
58,sbelnr,4706054,4706054,100.0,0,0.0
59,sbukrs,4706054,4706054,100.0,0,0.0
60,zpquantity,4706054,4706054,100.0,0,0.0
61,zpestla,4706054,4706054,100.0,0,0.0
62,swaers,4706054,4706054,100.0,0,0.0
63,zpostlamt,4706054,4706054,100.0,0,0.0
64,esamt,4706054,4706054,100.0,0,0.0
65,iswaers,4706054,4706054,100.0,0,0.0
66,isamt,4706054,4706054,100.0,0,0.0
67,awaers,4706054,4706054,100.0,0,0.0
68,eaamt,4706054,4706054,100.0,0,0.0
69,sktonr,4706054,4706054,100.0,0,0.0
70,snrart,4706054,4706054,100.0,0,0.0
71,zpoquantity,4706054,4706054,100.0,0,0.0
72,zpesamt,4706054,4706054,100.0,0,0.0
73,zpquantity1,4706054,4706054,100.0,0,0.0
74,zpeaact,4706054,4706054,100.0,0,0.0
75,zpcamt,4706054,4706054,100.0,0,0.0
76,zbquantity,4706054,4706054,100.0,0,0.0
77,zplquantity,4706054,4706054,100.0,0,0.0
78,zpwaers,4706054,4706054,100.0,0,0.0
79,zpqtyunit,4706054,4706054,100.0,0,0.0
80,src_commit_time,4706054,4706054,100.0,0,0.0
