Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,38296697,38296697,100.0,0,0.0
2,mandt,38296697,38296697,100.0,0,0.0
3,crptr,38296697,38296697,100.0,0,0.0
4,adrnr,38296697,38296697,100.0,0,0.0
5,adrda,38296697,38296697,100.0,0,0.0
6,knuma_ag,38296697,38296697,100.0,0,0.0
7,iptyp,38296697,38296697,100.0,0,0.0
8,pdstat,38296697,38296697,100.0,0,0.0
9,pcnum,38296697,38296697,100.0,0,0.0
10,depcode,38296697,38296697,100.0,0,0.0
11,vrsio,38296697,38296697,100.0,0,0.0
12,monat,38296697,38296697,100.0,0,0.0
13,matnr,38296697,38296697,100.0,0,0.0
14,guid_ip,38296697,38296697,100.0,0,0.0
15,stsma,38296697,38296697,100.0,0,0.0
16,objnr,38296697,38296697,100.0,0,0.0
17,ustat,38296697,38296697,100.0,0,0.0
18,belnr_999,38296697,38296697,100.0,0,0.0
19,timestamp,38296697,38296697,100.0,0,0.0
20,setlm,38296697,38296697,100.0,0,0.0
21,nfnum,38296697,38296697,100.0,0,0.0
22,nfsrs,38296697,38296697,100.0,0,0.0
23,nfstat,38296697,38296697,100.0,0,0.0
24,nfamt,38296697,38296697,100.0,0,0.0
25,nfdat,38296697,38296697,100.0,0,0.0
26,dltacr,38296697,38296697,100.0,0,0.0
27,spgrp,38296697,38296697,100.0,0,0.0
28,awrlv,38296697,38296697,100.0,0,0.0
29,knuma_pa,38296697,38296697,100.0,0,0.0
30,gjahr_clr,38296697,38296697,100.0,0,0.0
31,bukrs_clr,38296697,38296697,100.0,0,0.0
32,augbl,38296697,38296697,100.0,0,0.0
33,parvw,38296697,38296697,100.0,0,0.0
34,bukrs,38296697,38296697,100.0,0,0.0
35,belnr,38296697,38296697,100.0,0,0.0
36,gjahr,38296697,38296697,100.0,0,0.0
37,pstty,38296697,38296697,100.0,0,0.0
38,abdct,38296697,38296697,100.0,0,0.0
39,shkzg,38296697,38296697,100.0,0,0.0
40,wrbtr,38296697,38296697,100.0,0,0.0
41,waers,38296697,38296697,100.0,0,0.0
42,budat,38296697,38296697,100.0,0,0.0
43,koart,38296697,38296697,100.0,0,0.0
44,acptr,38296697,38296697,100.0,0,0.0
45,nrart,38296697,38296697,100.0,0,0.0
46,ipptr,38296697,38296697,100.0,0,0.0
47,origin,38296697,38296697,100.0,0,0.0
48,rstat,38296697,38296697,100.0,0,0.0
49,lcdat,38296697,38296697,100.0,0,0.0
50,tracknum,38296697,38296697,100.0,0,0.0
51,vbtyp,38296697,38296697,100.0,0,0.0
52,belnr_ref,38296697,38296697,100.0,0,0.0
53,gjahr_ref,38296697,38296697,100.0,0,0.0
54,pstty_ref,38296697,38296697,100.0,0,0.0
55,ipost,38296697,38296697,100.0,0,0.0
56,swoac,38296697,38296697,100.0,0,0.0
57,rsrnr,38296697,38296697,100.0,0,0.0
58,rsrcd,38296697,38296697,100.0,0,0.0
59,spsch,38296697,38296697,100.0,0,0.0
60,src_commit_time,38296697,38296697,100.0,0,0.0
