Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,7036164,7036164,100.0,0,0.0
2,mandt,7036164,7036164,100.0,0,0.0
3,zmatnr,7036164,7036164,100.0,0,0.0
4,zpriceid,7036164,7036164,100.0,0,0.0
5,zprompr,7036164,7036164,100.0,0,0.0
6,zwaerk,7036164,7036164,100.0,0,0.0
7,zdontprm,7036164,7036164,100.0,0,0.0
8,zpindesc,7036164,7036164,100.0,0,0.0
9,zglbpr,7036164,7036164,100.0,0,0.0
10,zprmlpr,7036164,7036164,100.0,0,0.0
11,zvsodp,7036164,7036164,100.0,0,0.0
12,zglbprlp,7036164,7036164,100.0,0,0.0
13,ernam,7036164,7036164,100.0,0,0.0
14,erdat,7036164,7036164,100.0,0,0.0
15,erzet,7036164,7036164,100.0,0,0.0
16,zmaxstti,7036164,7036164,100.0,0,0.0
17,zprdept,7036164,7036164,100.0,0,0.0
18,zwrkst,7036164,7036164,100.0,0,0.0
19,zkunag,7036164,7036164,100.0,0,0.0
20,vkorg,7036164,7036164,100.0,0,0.0
21,kfrst,7036164,7036164,100.0,0,0.0
22,pqnum,7036164,7036164,100.0,0,0.0
23,prmid,7036164,7036164,100.0,0,0.0
24,botext,7036164,7036164,100.0,0,0.0
25,abrex,7036164,7036164,100.0,0,0.0
26,datab,7036164,7036164,100.0,0,0.0
27,datbi,7036164,7036164,100.0,0,0.0
28,corsn,7036164,7036164,100.0,0,0.0
29,zdatbi,7036164,7036164,100.0,0,0.0
30,codat,7036164,7036164,100.0,0,0.0
31,spdtyp,7036164,7036164,100.0,0,0.0
32,prdel,7036164,7036164,100.0,0,0.0
33,dummy14,7036164,7036164,100.0,0,0.0
34,zperid,7036164,7036164,100.0,0,0.0
35,zdatab,7036164,7036164,100.0,0,0.0
36,src_commit_time,7036164,7036164,100.0,0,0.0
