Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,5,5,100.0,0,0.0
2,neg_fkart,5,5,100.0,0,0.0
3,rspct,5,5,100.0,0,0.0
4,pwfart,5,5,100.0,0,0.0
5,swfart,5,5,100.0,0,0.0
6,psctp,5,5,100.0,0,0.0
7,stanc,5,5,100.0,0,0.0
8,pos_auart,5,5,100.0,0,0.0
9,pos_fkart,5,5,100.0,0,0.0
10,neg_auart,5,5,100.0,0,0.0
11,smatn,5,5,100.0,0,0.0
12,mandt,5,5,100.0,0,0.0
13,kschl,5,5,100.0,0,0.0
14,werks,5,5,100.0,0,0.0
15,mwskz,5,5,100.0,0,0.0
16,zlspr,5,5,100.0,0,0.0
17,nftyp,5,5,100.0,0,0.0
18,noagrst,5,5,100.0,0,0.0
19,prktp,5,5,100.0,0,0.0
20,actyp,5,5,100.0,0,0.0
21,pctyp,5,5,100.0,0,0.0
22,itinc,5,5,100.0,0,0.0
23,sitem,5,5,100.0,0,0.0
24,iblart,5,5,100.0,0,0.0
25,setlp,5,5,100.0,0,0.0
26,setlm,5,5,100.0,0,0.0
27,awtyp,5,5,100.0,0,0.0
28,blart,5,5,100.0,0,0.0
29,setlcur,5,5,100.0,0,0.0
30,vkorg,5,5,100.0,0,0.0
31,vtweg,5,5,100.0,0,0.0
32,spart,5,5,100.0,0,0.0
33,ekorg,5,5,100.0,0,0.0
34,kalsmc,5,5,100.0,0,0.0
35,srtyp,5,5,100.0,0,0.0
36,stsma,5,5,100.0,0,0.0
37,swzis,5,5,100.0,0,0.0
38,zlsch,5,5,100.0,0,0.0
39,pycur,5,5,100.0,0,0.0
40,balac,5,5,100.0,0,0.0
41,slcnt,5,5,100.0,0,0.0
42,src_commit_time,5,5,100.0,0,0.0
