Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,5591100,5591100,100.0,0,0.0
2,mandt,5591100,5591100,100.0,0,0.0
3,guid,5591100,5591100,100.0,0,0.0
4,exec_run,5591100,5591100,100.0,0,0.0
5,time_utc,5591100,5591100,100.0,0,0.0
6,log_user,5591100,5591100,100.0,0,0.0
7,msgid,5591100,5591100,100.0,0,0.0
8,msgty,5591100,5591100,100.0,0,0.0
9,msgno,5591100,5591100,100.0,0,0.0
10,msgv1,5591100,5591100,100.0,0,0.0
11,msgv2,5591100,5591100,100.0,0,0.0
12,msgv3,5591100,5591100,100.0,0,0.0
13,msgv4,5591100,5591100,100.0,0,0.0
14,src_commit_time,5591100,5591100,100.0,0,0.0
