Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,SAPClient,431038,431038,100.0,0,0.0
2,FreeDefinedAttribute03,431038,431038,100.0,0,0.0
3,NielsenRegion,431038,431038,100.0,0,0.0
4,CustomerClassification,431038,431038,100.0,0,0.0
5,Industry,431038,431038,100.0,0,0.0
6,AdditionalIndustry1,431038,431038,100.0,0,0.0
7,AdditionalIndustry2,431038,431038,100.0,0,0.0
8,AdditionalIndustry3,431038,431038,100.0,0,0.0
9,AdditionalIndustry4,431038,431038,100.0,0,0.0
10,AdditionalIndustry5,431038,431038,100.0,0,0.0
11,FiscalYearVariant,431038,431038,100.0,0,0.0
12,LegalEntityType,431038,431038,100.0,0,0.0
13,FreeDefinedAttribute01,431038,431038,100.0,0,0.0
14,FreeDefinedAttribute02,431038,431038,100.0,0,0.0
15,FreeDefinedAttribute04,431038,431038,100.0,0,0.0
16,TaxID2,431038,431038,100.0,0,0.0
17,Customer,431038,431038,100.0,0,0.0
18,FreeDefinedAttribute06,431038,431038,100.0,0,0.0
19,FreeDefinedAttribute07,431038,431038,100.0,0,0.0
20,FreeDefinedAttribute08,431038,431038,100.0,0,0.0
21,FreeDefinedAttribute09,431038,431038,100.0,0,0.0
22,FreeDefinedAttribute10,431038,431038,100.0,0,0.0
23,SalesIsBlockedForCustomer,431038,431038,100.0,0,0.0
24,OrderIsBlockedForCustomer,431038,431038,100.0,0,0.0
25,DeliveryIsBlockedForCustomer,431038,431038,100.0,0,0.0
26,BillingIsBlockedForCustomer,431038,431038,100.0,0,0.0
27,PostingIsBlockedForCustomer,431038,431038,100.0,0,0.0
28,PaymentIsBlockedForCustomer,431038,431038,100.0,0,0.0
29,VATRegistration,431038,431038,100.0,0,0.0
30,FreeDefinedAttribute05,431038,431038,100.0,0,0.0
31,TaxID1,431038,431038,100.0,0,0.0
32,CustomerName,431038,431038,100.0,0,0.0
33,ExpressTrainStationName,431038,431038,100.0,0,0.0
34,CreationDate,431038,431038,100.0,0,0.0
35,CreatedByUser,431038,431038,100.0,0,0.0
36,CustomerAccountGroup,431038,431038,100.0,0,0.0
37,IsOneTimeAccount,431038,431038,100.0,0,0.0
38,IsMarkedForDeletion,431038,431038,100.0,0,0.0
39,IsCompetitor,431038,431038,100.0,0,0.0
40,IsSalesPartner,431038,431038,100.0,0,0.0
41,IsSalesProspect,431038,431038,100.0,0,0.0
42,IsDefaultSoldToParty,431038,431038,100.0,0,0.0
43,IsConsumer,431038,431038,100.0,0,0.0
44,AddressID,431038,431038,100.0,0,0.0
45,src_commit_time,431038,431038,100.0,0,0.0
46,Region,431038,431038,100.0,0,0.0
47,StreetName,431038,431038,100.0,0,0.0
48,HouseNumber,431038,431038,100.0,0,0.0
49,HouseNumberSupplementText,431038,431038,100.0,0,0.0
50,District,431038,431038,100.0,0,0.0
51,PostalCode,431038,431038,100.0,0,0.0
52,CityName,431038,431038,100.0,0,0.0
53,Country,431038,431038,100.0,0,0.0
54,CustomerAdditionalName,431038,431038,100.0,0,0.0
55,TransportZone,431038,431038,100.0,0,0.0
56,Language,431038,431038,100.0,0,0.0
57,TrainStationName,431038,431038,100.0,0,0.0
58,PriceListType,430030,431038,99.8,1008,0.2
59,Division,430030,431038,99.8,1008,0.2
60,IncotermsTransferLocation,430030,431038,99.8,1008,0.2
61,DeliveryPriority,430030,431038,99.8,1008,0.2
62,AdditionalCustomerGroup5,430030,431038,99.8,1008,0.2
63,SalesOffice,430030,431038,99.8,1008,0.2
64,CustomerStatisticsGroup,430030,431038,99.8,1008,0.2
65,SupplyingPlant,430030,431038,99.8,1008,0.2
66,SalesGroup,430030,431038,99.8,1008,0.2
67,SalesOrganization,430030,431038,99.8,1008,0.2
68,ShippingCondition,430030,431038,99.8,1008,0.2
69,DistributionChannel,430030,431038,99.8,1008,0.2
70,AdditionalCustomerGroup3,430030,431038,99.8,1008,0.2
71,CustomerPaymentTerms,430030,431038,99.8,1008,0.2
72,CustOrderProbabilityInPercent,430030,431038,99.8,1008,0.2
73,AdditionalCustomerGroup4,430030,431038,99.8,1008,0.2
74,CustomerIsRebateRelevant,430030,431038,99.8,1008,0.2
75,AdditionalCustomerGroup2,430030,431038,99.8,1008,0.2
76,AdditionalCustomerGroup1,430030,431038,99.8,1008,0.2
77,CustomerPriceGroup,430030,431038,99.8,1008,0.2
78,CustomerABCClassification,430030,431038,99.8,1008,0.2
79,CreditControlArea,430030,431038,99.8,1008,0.2
80,CustomerGroup,430030,431038,99.8,1008,0.2
81,IncotermsClassification,430030,431038,99.8,1008,0.2
82,BillgIsBlockedForCustOfSlsArea,430030,431038,99.8,1008,0.2
83,DelivIsBlockedForCustOfSlsArea,430030,431038,99.8,1008,0.2
84,SalesIsBlockedForCustOfSlsArea,430030,431038,99.8,1008,0.2
85,OrderIsBlockedForCustOfSlsArea,430030,431038,99.8,1008,0.2
86,SalesDistrict,430030,431038,99.8,1008,0.2
87,AuthorizationGroup,430030,431038,99.8,1008,0.2
88,CompleteDeliveryIsDefined,430030,431038,99.8,1008,0.2
89,MaxNmbrOfPartialDelivery,430030,431038,99.8,1008,0.2
90,FormOfAddress,13,431038,0.0,431025,100.0
