Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,SAPClient,20355283,20355283,100.0,0,0.0
2,UnderlyingPurchaseOrderItem,20355283,20355283,100.0,0,0.0
3,ControllingObject,20355283,20355283,100.0,0,0.0
4,ProfitCenter,20355283,20355283,100.0,0,0.0
5,ProfitabilitySegment,20355283,20355283,100.0,0,0.0
6,WBSElement,20355283,20355283,100.0,0,0.0
7,RetailPromotion,20355283,20355283,100.0,0,0.0
8,StatisticsDate,20355283,20355283,100.0,0,0.0
9,StatisticsExchangeRate,20355283,20355283,100.0,0,0.0
10,OriginSDDocument,20355283,20355283,100.0,0,0.0
11,FiscalYearVariant,20355283,20355283,100.0,0,0.0
12,OriginSDDocumentItem,20355283,20355283,100.0,0,0.0
13,ReferenceSDDocument,20355283,20355283,100.0,0,0.0
14,ReferenceSDDocumentItem,20355283,20355283,100.0,0,0.0
15,ReferenceSDDocumentCategory,20355283,20355283,100.0,0,0.0
16,AdditionalValueDays,20355283,20355283,100.0,0,0.0
17,FixedValueDate,20355283,20355283,100.0,0,0.0
18,SDDocumentRejectionStatus,20355283,20355283,100.0,0,0.0
19,FiscalPeriod,20355283,20355283,100.0,0,0.0
20,FiscalYear,20355283,20355283,100.0,0,0.0
21,PurchaseConfirmationStatus,20355283,20355283,100.0,0,0.0
22,ShippingPoint,20355283,20355283,100.0,0,0.0
23,PartialDeliveryIsAllowed,20355283,20355283,100.0,0,0.0
24,MaxNmbrOfPartialDelivery,20355283,20355283,100.0,0,0.0
25,UnlimitedOverdeliveryIsAllowed,20355283,20355283,100.0,0,0.0
26,OverdeliveryToleranceLmtInPct,20355283,20355283,100.0,0,0.0
27,UnderdeliveryToleranceLmtInPct,20355283,20355283,100.0,0,0.0
28,DeliveryDateQuantityIsFixed,20355283,20355283,100.0,0,0.0
29,CreditDataExchangeRate,20355283,20355283,100.0,0,0.0
30,Route,20355283,20355283,100.0,0,0.0
31,PaymentMethod,20355283,20355283,100.0,0,0.0
32,IncotermsClassification,20355283,20355283,100.0,0,0.0
33,IncotermsTransferLocation,20355283,20355283,100.0,0,0.0
34,ItemIsBillingRelevant,20355283,20355283,100.0,0,0.0
35,ItemBillingBlockReason,20355283,20355283,100.0,0,0.0
36,BillingPlan,20355283,20355283,100.0,0,0.0
37,BillingDocumentDate,20355283,20355283,100.0,0,0.0
38,CustomerPaymentTerms,20355283,20355283,100.0,0,0.0
39,DeliveryConfirmationStatus,20355283,20355283,100.0,0,0.0
40,IntercompanyBillingStatus,20355283,20355283,100.0,0,0.0
41,ItemIsDeliveryRelevant,20355283,20355283,100.0,0,0.0
42,Subtotal2Amount,20355283,20355283,100.0,0,0.0
43,ConfdDelivQtyInOrderQtyUnit,20355283,20355283,100.0,0,0.0
44,ConfdDeliveryQtyInBaseUnit,20355283,20355283,100.0,0,0.0
45,NetPriceAmount,20355283,20355283,100.0,0,0.0
46,NetAmount,20355283,20355283,100.0,0,0.0
47,TaxAmount,20355283,20355283,100.0,0,0.0
48,CostAmount,20355283,20355283,100.0,0,0.0
49,Subtotal1Amount,20355283,20355283,100.0,0,0.0
50,Subtotal3Amount,20355283,20355283,100.0,0,0.0
51,TargetDelivQtyInOrderQtyUnit,20355283,20355283,100.0,0,0.0
52,Subtotal4Amount,20355283,20355283,100.0,0,0.0
53,Subtotal5Amount,20355283,20355283,100.0,0,0.0
54,Subtotal6Amount,20355283,20355283,100.0,0,0.0
55,OpenDeliveryQuantity,20355283,20355283,100.0,0,0.0
56,OpenDeliveryAmount,20355283,20355283,100.0,0,0.0
57,OpenDeliveryQtyInBaseUnit,20355283,20355283,100.0,0,0.0
58,SalesOrderItemCount,20355283,20355283,100.0,0,0.0
59,MinDeliveryQtyInBaseUnit,20355283,20355283,100.0,0,0.0
60,OrderQuantity,20355283,20355283,100.0,0,0.0
61,OrderRelatedBillingStatus,20355283,20355283,100.0,0,0.0
62,ItemGeneralIncompletionStatus,20355283,20355283,100.0,0,0.0
63,BillingBlockStatus,20355283,20355283,100.0,0,0.0
64,SDProcessStatus,20355283,20355283,100.0,0,0.0
65,TotalDeliveryStatus,20355283,20355283,100.0,0,0.0
66,DeliveryStatus,20355283,20355283,100.0,0,0.0
67,DeliveryBlockStatus,20355283,20355283,100.0,0,0.0
68,TotalSDDocReferenceStatus,20355283,20355283,100.0,0,0.0
69,SDDocReferenceStatus,20355283,20355283,100.0,0,0.0
70,ItemBillingIncompletionStatus,20355283,20355283,100.0,0,0.0
71,ItemVolume,20355283,20355283,100.0,0,0.0
72,PricingIncompletionStatus,20355283,20355283,100.0,0,0.0
73,ItemDeliveryIncompletionStatus,20355283,20355283,100.0,0,0.0
74,OpenDeliveryLeadingUnitCode,20355283,20355283,100.0,0,0.0
75,RequestedDeliveryDate,20355283,20355283,100.0,0,0.0
76,SoldToParty,20355283,20355283,100.0,0,0.0
77,ItemGrossWeight,20355283,20355283,100.0,0,0.0
78,ItemNetWeight,20355283,20355283,100.0,0,0.0
79,DeliveryPriority,20355283,20355283,100.0,0,0.0
80,InventorySpecialStockType,20355283,20355283,100.0,0,0.0
81,SalesOrder,20355283,20355283,100.0,0,0.0
82,AdditionalCustomerGroup5,20355283,20355283,100.0,0,0.0
83,CustomerPurchaseOrderDate,20355283,20355283,100.0,0,0.0
84,CustomerGroup,20355283,20355283,100.0,0,0.0
85,CustomerAccountAssignmentGroup,20355283,20355283,100.0,0,0.0
86,AdditionalCustomerGroup1,20355283,20355283,100.0,0,0.0
87,AdditionalCustomerGroup2,20355283,20355283,100.0,0,0.0
88,AdditionalCustomerGroup3,20355283,20355283,100.0,0,0.0
89,AdditionalCustomerGroup4,20355283,20355283,100.0,0,0.0
90,CustomerRebateAgreement,20355283,20355283,100.0,0,0.0
91,PurchaseOrderByCustomer,20355283,20355283,100.0,0,0.0
92,ShippingCondition,20355283,20355283,100.0,0,0.0
93,TransactionCurrency,20355283,20355283,100.0,0,0.0
94,StatisticsCurrency,20355283,20355283,100.0,0,0.0
95,CreatedByUser,20355283,20355283,100.0,0,0.0
96,CreationDate,20355283,20355283,100.0,0,0.0
97,CreationTime,20355283,20355283,100.0,0,0.0
98,LastChangeDate,20355283,20355283,100.0,0,0.0
99,CustomerPurchaseOrderSupplemnt,20355283,20355283,100.0,0,0.0
100,CreditControlArea,20355283,20355283,100.0,0,0.0
101,SalesOrderItemCategory,20355283,20355283,100.0,0,0.0
