Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,7356,7356,100.0,0,0.0
2,mandt,7356,7356,100.0,0,0.0
3,kappl,7356,7356,100.0,0,0.0
4,kschl,7356,7356,100.0,0,0.0
5,objtp,7356,7356,100.0,0,0.0
6,objid,7356,7356,100.0,0,0.0
7,vkorg,7356,7356,100.0,0,0.0
8,vtweg,7356,7356,100.0,0,0.0
9,spart,7356,7356,100.0,0,0.0
10,kunnr,7356,7356,100.0,0,0.0
11,kfrst,7356,7356,100.0,0,0.0
12,datbi,7356,7356,100.0,0,0.0
13,knumh,7356,7356,100.0,0,0.0
14,datab,7356,7356,100.0,0,0.0
15,kbstat,7356,7356,100.0,0,0.0
16,src_commit_time,7356,7356,100.0,0,0.0
