Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,SAPClient,1592625,1592625,100.0,0,0.0
2,Delivery,1592625,1592625,100.0,0,0.0
3,OBZAE,1592625,1592625,100.0,0,0.0
4,NumberOfSerialNumbers,1592625,1592625,100.0,0,0.0
5,ObjectListNumber,1592625,1592625,100.0,0,0.0
6,UII,1592625,1592625,100.0,0,0.0
7,TASER,1592625,1592625,100.0,0,0.0
8,EQSNR,1592625,1592625,100.0,0,0.0
9,OBJVW,1592625,1592625,100.0,0,0.0
10,BEARB,1592625,1592625,100.0,0,0.0
11,SORTF,1592625,1592625,100.0,0,0.0
12,ILOAN,1592625,1592625,100.0,0,0.0
13,BAUTL,1592625,1592625,100.0,0,0.0
14,LTSPS,1592625,1592625,100.0,0,0.0
15,SPART,1592625,1592625,100.0,0,0.0
16,VTWEG,1592625,1592625,100.0,0,0.0
17,BWART,1592625,1592625,100.0,0,0.0
18,UZEIT,1592625,1592625,100.0,0,0.0
19,VORGANG,1592625,1592625,100.0,0,0.0
20,KUNDE,1592625,1592625,100.0,0,0.0
21,LETZNR,1592625,1592625,100.0,0,0.0
22,DATUM,1592625,1592625,100.0,0,0.0
23,NotificationNo,1592625,1592625,100.0,0,0.0
24,EquipmentNumber,1592625,1592625,100.0,0,0.0
25,SerialNumber,1592625,1592625,100.0,0,0.0
26,Material,1592625,1592625,100.0,0,0.0
27,SalesOrganization,1592625,1592625,100.0,0,0.0
28,DocumentCategory,1592625,1592625,100.0,0,0.0
29,DeliveryItem,1592625,1592625,100.0,0,0.0
30,src_commit_time,1592625,1592625,100.0,0,0.0
