Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,SAPClient,2651209,2651209,100.0,0,0.0
2,StorageBin,2651209,2651209,100.0,0,0.0
3,CCLateCycle_count,2651209,2651209,100.0,0,0.0
4,CCTotalCycle_Count,2651209,2651209,100.0,0,0.0
5,WarehouseNumber,2651209,2651209,100.0,0,0.0
6,Plant,2651209,2651209,100.0,0,0.0
7,Material,2651209,2651209,100.0,0,0.0
8,PlannedDate,2651209,2651209,100.0,0,0.0
9,StorageType,2651209,2651209,100.0,0,0.0
10,Dateofinventory,2651209,2651209,100.0,0,0.0
11,ItemStatus_LINP,2651209,2651209,100.0,0,0.0
12,ItemNumber,2651209,2651209,100.0,0,0.0
13,SystemInventoryRecord,2651209,2651209,100.0,0,0.0
14,src_commit_time,2651209,2651209,100.0,0,0.0
15,Country,1374816,2651209,51.9,1276393,48.1
16,Region,1374816,2651209,51.9,1276393,48.1
17,ProductHierarchy,1374816,2651209,51.9,1276393,48.1
18,BG,1374816,2651209,51.9,1276393,48.1
19,MAG,1374816,2651209,51.9,1276393,48.1
20,MRPController,1374807,2651209,51.9,1276402,48.1
21,MRPControllerName,1374807,2651209,51.9,1276402,48.1
