Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,9997510,106009358,100.0,0,0.0
2,EBPRD_EA,9997510,106009358,100.0,0,0.0
3,EKKDM_A,9997510,106009358,100.0,0,0.0
4,EKPRD_A,9997510,106009358,100.0,0,0.0
5,ZUKDM_A,9997510,106009358,100.0,0,0.0
6,ZUPRD_A,9997510,106009358,100.0,0,0.0
7,ZUUMB_A,9997510,106009358,100.0,0,0.0
8,EBKDM_EA,9997510,106009358,100.0,0,0.0
9,VNKDM_EA,9997510,106009358,100.0,0,0.0
10,PBKDM_A,9997510,106009358,100.0,0,0.0
11,VNPRD_EA,9997510,106009358,100.0,0,0.0
12,PBKDM_O,9997510,106009358,100.0,0,0.0
13,PBPRD_O,9997510,106009358,100.0,0,0.0
14,EKKDM_O,9997510,106009358,100.0,0,0.0
15,EKPRD_O,9997510,106009358,100.0,0,0.0
16,VNKDM_O,9997510,106009358,100.0,0,0.0
17,PBPRD_A,9997510,106009358,100.0,0,0.0
18,ABPRD_MO,9997510,106009358,100.0,0,0.0
19,VPPBKDM_O,9997510,106009358,100.0,0,0.0
20,ZUKDM_OST,9997510,106009358,100.0,0,0.0
21,MARKUP_O,9997510,106009358,100.0,0,0.0
22,VNKDM_OST,9997510,106009358,100.0,0,0.0
23,VPPBKDM_OST,9997510,106009358,100.0,0,0.0
24,VPKDM_OST,9997510,106009358,100.0,0,0.0
25,PBKDM_OST,9997510,106009358,100.0,0,0.0
26,EKKDM_OST,9997510,106009358,100.0,0,0.0
27,ABSALK3,9997510,106009358,100.0,0,0.0
28,ABKDM_MO,9997510,106009358,100.0,0,0.0
29,EBKDM_MA,9997510,106009358,100.0,0,0.0
30,EBPRD_MA,9997510,106009358,100.0,0,0.0
31,VNKDM_MA,9997510,106009358,100.0,0,0.0
32,VNPRD_MA,9997510,106009358,100.0,0,0.0
33,ZUKDM_MO,9997510,106009358,100.0,0,0.0
34,ZUPRD_MO,9997510,106009358,100.0,0,0.0
35,VNPRD_O,9997510,106009358,100.0,0,0.0
36,VPPBPRD_O,9997510,106009358,100.0,0,0.0
37,KALNR,9997510,106009358,100.0,0,0.0
38,BWTAR,9997510,106009358,100.0,0,0.0
39,PSPNR,9997510,106009358,100.0,0,0.0
40,POSNR,9997510,106009358,100.0,0,0.0
41,VBELN,9997510,106009358,100.0,0,0.0
42,SOBKZ,9997510,106009358,100.0,0,0.0
43,XOBEW,9997510,106009358,100.0,0,0.0
44,KZBWS,9997510,106009358,100.0,0,0.0
45,BWKEY,9997510,106009358,100.0,0,0.0
46,BDATJ,9997510,106009358,100.0,0,0.0
47,MATNR,9997510,106009358,100.0,0,0.0
48,ABRECHUHR,9997510,106009358,100.0,0,0.0
49,XABRERR,9997510,106009358,100.0,0,0.0
50,ABRECHDAT,9997510,106009358,100.0,0,0.0
51,XABRECH,9997510,106009358,100.0,0,0.0
52,MLAST,9997510,106009358,100.0,0,0.0
53,LIFNR,9997510,106009358,100.0,0,0.0
54,POPER,9997510,106009358,100.0,0,0.0
55,VPKDM_O,9997510,106009358,100.0,0,0.0
56,SALKV,9997510,106009358,100.0,0,0.0
57,VPPRD_O,9997510,106009358,100.0,0,0.0
58,ZUKDM_O,9997510,106009358,100.0,0,0.0
59,ZUPRD_O,9997510,106009358,100.0,0,0.0
60,ABKDM_O,9997510,106009358,100.0,0,0.0
61,ABPRD_O,9997510,106009358,100.0,0,0.0
62,ZUUMB_O,9997510,106009358,100.0,0,0.0
63,SALK3,9997510,106009358,100.0,0,0.0
64,UNTPER,9997510,106009358,100.0,0,0.0
65,PVPRS,9997510,106009358,100.0,0,0.0
66,STPRS,9997510,106009358,100.0,0,0.0
67,PEINH,9997510,106009358,100.0,0,0.0
68,WAERS,9997510,106009358,100.0,0,0.0
69,VPRSV,9997510,106009358,100.0,0,0.0
70,CURTP,9997510,106009358,100.0,0,0.0
71,src_commit_time,9997510,106009358,100.0,0,0.0
