Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,104191,104191,100.0,0,0.0
2,MATNR,104191,104191,100.0,0,0.0
3,LGNUM,104191,104191,100.0,0,0.0
4,LGTYP,104191,104191,100.0,0,0.0
5,LVORM,104191,104191,100.0,0,0.0
6,LGPLA,104191,104191,100.0,0,0.0
7,KOBER,104191,104191,100.0,0,0.0
8,LPMAX,104191,104191,100.0,0,0.0
9,LPMIN,104191,104191,100.0,0,0.0
10,MAMNG,104191,104191,100.0,0,0.0
11,NSMNG,104191,104191,100.0,0,0.0
12,RDMNG,104191,104191,100.0,0,0.0
13,src_commit_time,104191,104191,100.0,0,0.0
