Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,SAPClient,9999388,122123782,100.0,0,0.0
2,Objectclass,9999388,122123782,100.0,0,0.0
3,ObjectValue,9999388,122123782,100.0,0,0.0
4,DocumentNumber,9999388,122123782,100.0,0,0.0
5,Date,9999388,122123782,100.0,0,0.0
6,Time,9999388,122123782,100.0,0,0.0
7,TransactionCode,9999388,122123782,100.0,0,0.0
8,User,9999388,122123782,100.0,0,0.0
9,TableName,9999388,122123782,100.0,0,0.0
10,FieldName,9999388,122123782,100.0,0,0.0
11,ChangeIndicator,9999388,122123782,100.0,0,0.0
12,Oldvalue,9999388,122123782,100.0,0,0.0
13,Newvalue,9999388,122123782,100.0,0,0.0
14,src_commit_time,9999388,122123782,100.0,0,0.0
15,OBJECTIDITEM,9700345,122123782,97.0,299043,3.0
