Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,SAPClient,24889893,24889893,100.0,0,0.0
2,BVTYP,24889893,24889893,100.0,0,0.0
3,AKWAE,24889893,24889893,100.0,0,0.0
4,KURRF_DAT,24889893,24889893,100.0,0,0.0
5,J_1AFITP,24889893,24889893,100.0,0,0.0
6,LCNUM,24889893,24889893,100.0,0,0.0
7,RPLNR,24889893,24889893,100.0,0,0.0
8,XEGDR,24889893,24889893,100.0,0,0.0
9,FKSTO,24889893,24889893,100.0,0,0.0
10,LOGSYS,24889893,24889893,100.0,0,0.0
11,ZUONR,24889893,24889893,100.0,0,0.0
12,XBLNR,24889893,24889893,100.0,0,0.0
13,STCEG_L,24889893,24889893,100.0,0,0.0
14,STCEG_H,24889893,24889893,100.0,0,0.0
15,LANDTX,24889893,24889893,100.0,0,0.0
16,KAPPL,24889893,24889893,100.0,0,0.0
17,FKART_AB,24889893,24889893,100.0,0,0.0
18,VBUND,24889893,24889893,100.0,0,0.0
19,BSTNK_VF,24889893,24889893,100.0,0,0.0
20,HITYP_PR,24889893,24889893,100.0,0,0.0
21,CMWAE,24889893,24889893,100.0,0,0.0
22,KNKLI,24889893,24889893,100.0,0,0.0
23,KKBER,24889893,24889893,100.0,0,0.0
24,SPART,24889893,24889893,100.0,0,0.0
25,MANSP,24889893,24889893,100.0,0,0.0
26,MSCHL,24889893,24889893,100.0,0,0.0
27,KURST,24889893,24889893,100.0,0,0.0
28,KIDNO,24889893,24889893,100.0,0,0.0
29,NUMPG,24889893,24889893,100.0,0,0.0
30,FKART_RL,24889893,24889893,100.0,0,0.0
31,BUPLA,24889893,24889893,100.0,0,0.0
32,AKKUR,24889893,24889893,100.0,0,0.0
33,MWSBK,24889893,24889893,100.0,0,0.0
34,CMKUF,24889893,24889893,100.0,0,0.0
35,NETWR,24889893,24889893,100.0,0,0.0
36,KURRF,24889893,24889893,100.0,0,0.0
37,INCO3_L,24889893,24889893,100.0,0,0.0
38,INCO2_L,24889893,24889893,100.0,0,0.0
39,INCOV,24889893,24889893,100.0,0,0.0
40,J_1TPBUPL,24889893,24889893,100.0,0,0.0
