Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,SAPClient,54963,54963,100.0,0,0.0
2,Vendor,54963,54963,100.0,0,0.0
3,Region,54963,54963,100.0,0,0.0
4,CityName,54963,54963,100.0,0,0.0
5,District,54963,54963,100.0,0,0.0
6,StreetAddressName,54963,54963,100.0,0,0.0
7,PostalCode,54963,54963,100.0,0,0.0
8,POBox,54963,54963,100.0,0,0.0
9,Language,54963,54963,100.0,0,0.0
10,PhoneNumber1,54963,54963,100.0,0,0.0
11,PhoneNumber2,54963,54963,100.0,0,0.0
12,CountryDialingCode,54951,54963,100.0,12,0.0
13,TrainStationName,54963,54963,100.0,0,0.0
14,TransportZone,54963,54963,100.0,0,0.0
15,FaxNumber,54963,54963,100.0,0,0.0
16,PrfrdCommMediumType,54963,54963,100.0,0,0.0
17,SupplyingPlant,54963,54963,100.0,0,0.0
18,AuthorizationGroup,54963,54963,100.0,0,0.0
19,STCD3,54963,54963,100.0,0,0.0
20,Country,54963,54963,100.0,0,0.0
21,src_commit_time,54963,54963,100.0,0,0.0
22,IsOneTimeAccount,54963,54963,100.0,0,0.0
23,PaymentIsBlockedForVendor,54963,54963,100.0,0,0.0
24,VendorName,54963,54963,100.0,0,0.0
25,BBSNR,54963,54963,100.0,0,0.0
26,VBUND,54963,54963,100.0,0,0.0
27,BBBNR,54963,54963,100.0,0,0.0
28,VendorAdditionalName,54963,54963,100.0,0,0.0
29,AddressID,54963,54963,100.0,0,0.0
30,Customer,54963,54963,100.0,0,0.0
31,Industry,54963,54963,100.0,0,0.0
32,CreationDate,54963,54963,100.0,0,0.0
33,CreatedByUser,54963,54963,100.0,0,0.0
34,VendorAccountGroup,54963,54963,100.0,0,0.0
35,IsMarkedForDeletion,54963,54963,100.0,0,0.0
36,PostingIsBlockedForVendor,54963,54963,100.0,0,0.0
37,TaxID1,54963,54963,100.0,0,0.0
38,TaxID2,54963,54963,100.0,0,0.0
39,VATRegistration,54963,54963,100.0,0,0.0
40,EmailAddress,40399,54963,73.5,14564,26.5
41,FormOfAddress,5,54963,0.0,54958,100.0
