Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,430029,430029,100.0,0,0.0
2,LPRIO,430029,430029,100.0,0,0.0
3,VKGRP,430029,430029,100.0,0,0.0
4,VWERK,430029,430029,100.0,0,0.0
5,ZTERM,430029,430029,100.0,0,0.0
6,KTGRD,430029,430029,100.0,0,0.0
7,KLABC,430029,430029,100.0,0,0.0
8,WAERS,430029,430029,100.0,0,0.0
9,KVAWT,430029,430029,100.0,0,0.0
10,KVAKZ,430029,430029,100.0,0,0.0
11,PERRL,430029,430029,100.0,0,0.0
12,PERFK,430029,430029,100.0,0,0.0
13,MRNKZ,430029,430029,100.0,0,0.0
14,FAKSD_KNVV,430029,430029,100.0,0,0.0
15,VSBED,430029,430029,100.0,0,0.0
16,EIKTO,430029,430029,100.0,0,0.0
17,CHSPL,430029,430029,100.0,0,0.0
18,KUNNR,430029,430029,100.0,0,0.0
19,KZAZU,430029,430029,100.0,0,0.0
20,KZTLF,430029,430029,100.0,0,0.0
21,ANTLF,430029,430029,100.0,0,0.0
22,AUTLF,430029,430029,100.0,0,0.0
23,LIFSD_KNVV,430029,430029,100.0,0,0.0
24,INCO2,430029,430029,100.0,0,0.0
25,INCO1,430029,430029,100.0,0,0.0
26,AWAHR,430029,430029,100.0,0,0.0
27,PLTYP,430029,430029,100.0,0,0.0
28,KONDA,430029,430029,100.0,0,0.0
29,BZIRK,430029,430029,100.0,0,0.0
30,KDGRP,430029,430029,100.0,0,0.0
31,KALKS,430029,430029,100.0,0,0.0
32,AUFSD_KNVV,430029,430029,100.0,0,0.0
33,VKBUR,430029,430029,100.0,0,0.0
34,VSORT,430029,430029,100.0,0,0.0
35,STCEG,430029,430029,100.0,0,0.0
36,DEAR1,430029,430029,100.0,0,0.0
37,CVP_XBLCK_V,430029,430029,100.0,0,0.0
38,CVP_XBLCK,430029,430029,100.0,0,0.0
39,UMSA1,430029,430029,100.0,0,0.0
40,STKZN,430029,430029,100.0,0,0.0
41,KATR10,430029,430029,100.0,0,0.0
42,KATR9,430029,430029,100.0,0,0.0
43,KATR8,430029,430029,100.0,0,0.0
44,KATR7,430029,430029,100.0,0,0.0
45,KATR6,430029,430029,100.0,0,0.0
46,KATR5,430029,430029,100.0,0,0.0
47,KATR4,430029,430029,100.0,0,0.0
48,KATR3,430029,430029,100.0,0,0.0
49,KATR2,430029,430029,100.0,0,0.0
50,KATR1,430029,430029,100.0,0,0.0
51,JMJAH,430029,430029,100.0,0,0.0
52,JMZAH,430029,430029,100.0,0,0.0
53,UWAER,430029,430029,100.0,0,0.0
54,UMJAH,430029,430029,100.0,0,0.0
55,EKONT,430029,430029,100.0,0,0.0
56,BRAN5,430029,430029,100.0,0,0.0
57,BRAN4,430029,430029,100.0,0,0.0
58,BRAN3,430029,430029,100.0,0,0.0
59,BRAN2,430029,430029,100.0,0,0.0
60,BRAN1,430029,430029,100.0,0,0.0
61,GFORM,430029,430029,100.0,0,0.0
62,DEAR5,430029,430029,100.0,0,0.0
63,DEAR4,430029,430029,100.0,0,0.0
64,DEAR3,430029,430029,100.0,0,0.0
65,DEAR2,430029,430029,100.0,0,0.0
66,VERSG,430029,430029,100.0,0,0.0
67,LOEVM_KNVV,430029,430029,100.0,0,0.0
68,BEGRU_KNVV,430029,430029,100.0,0,0.0
69,NAME2,430029,430029,100.0,0,0.0
