Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,21242461,21242461,100.0,0,0.0
2,DIRTA,21242461,21242461,100.0,0,0.0
3,VERURSYS,21242461,21242461,100.0,0,0.0
4,KZWAB,21242461,21242461,100.0,0,0.0
5,VLSTK,21242461,21242461,100.0,0,0.0
6,TCODE,21242461,21242461,100.0,0,0.0
7,VSART,21242461,21242461,100.0,0,0.0
8,TRMTYP,21242461,21242461,100.0,0,0.0
9,SDABW,21242461,21242461,100.0,0,0.0
10,VBUND,21242461,21242461,100.0,0,0.0
11,XWOFF,21242461,21242461,100.0,0,0.0
12,PRVBE,21242461,21242461,100.0,0,0.0
13,SPE_WAUHR_IST,21242461,21242461,100.0,0,0.0
14,FOLAR,21242461,21242461,100.0,0,0.0
15,PODAT,21242461,21242461,100.0,0,0.0
16,POTIM,21242461,21242461,100.0,0,0.0
17,VGANZ,21242461,21242461,100.0,0,0.0
18,IMWRK,21242461,21242461,100.0,0,0.0
19,SPE_LOEKZ,21242461,21242461,100.0,0,0.0
20,SPE_LOC_SEQ,21242461,21242461,100.0,0,0.0
21,SPE_ACC_APP_STS,21242461,21242461,100.0,0,0.0
22,SPE_SHP_INF_STS,21242461,21242461,100.0,0,0.0
23,CONT_DG,21242461,21242461,100.0,0,0.0
24,TZONRC,21242461,21242461,100.0,0,0.0
25,TZONIS,21242461,21242461,100.0,0,0.0
26,TSEGTP,21242461,21242461,100.0,0,0.0
27,KNUMP,21242461,21242461,100.0,0,0.0
28,NETWR,21242461,21242461,100.0,0,0.0
29,AULWE,21242461,21242461,100.0,0,0.0
30,WERKS,21242461,21242461,100.0,0,0.0
31,LCNUM,21242461,21242461,100.0,0,0.0
32,ABSSC,21242461,21242461,100.0,0,0.0
33,KOUHR,21242461,21242461,100.0,0,0.0
34,TDUHR,21242461,21242461,100.0,0,0.0
35,LDUHR,21242461,21242461,100.0,0,0.0
36,WAUHR,21242461,21242461,100.0,0,0.0
37,LGTOR,21242461,21242461,100.0,0,0.0
38,LGBZO,21242461,21242461,100.0,0,0.0
39,AKWAE,21242461,21242461,100.0,0,0.0
40,AKKUR,21242461,21242461,100.0,0,0.0
41,AKPRZ,21242461,21242461,100.0,0,0.0
42,PROLI,21242461,21242461,100.0,0,0.0
43,XBLNR,21242461,21242461,100.0,0,0.0
44,HANDLE,21242461,21242461,100.0,0,0.0
45,TSEGFL,21242461,21242461,100.0,0,0.0
46,SPE_RET_CANC,21242461,21242461,100.0,0,0.0
47,SPE_WAZONE_IST,21242461,21242461,100.0,0,0.0
48,VBELN,21242461,21242461,100.0,0,0.0
49,_BEV1_RPCONT,21242461,21242461,100.0,0,0.0
50,TM_CTRL_KEY,21242461,21242461,100.0,0,0.0
51,DLV_SPLIT_INITIA,21242461,21242461,100.0,0,0.0
52,DLV_VERSION,21242461,21242461,100.0,0,0.0
53,HANDOVERLOC,21242461,21242461,100.0,0,0.0
54,HANDOVERDATE,21242461,21242461,100.0,0,0.0
55,HANDOVERTIME,21242461,21242461,100.0,0,0.0
56,_BEV1_LULEINH,21242461,21242461,100.0,0,0.0
57,_BEV1_RPFAESS,21242461,21242461,100.0,0,0.0
