Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,26489925,26489925,100.0,0,0.0
2,J_1AFITP,26489925,26489925,100.0,0,0.0
3,RPLNR,26489925,26489925,100.0,0,0.0
4,XEGDR,26489925,26489925,100.0,0,0.0
5,FKSTO,26489925,26489925,100.0,0,0.0
6,LOGSYS,26489925,26489925,100.0,0,0.0
7,MWSBK,26489925,26489925,100.0,0,0.0
8,ZUONR,26489925,26489925,100.0,0,0.0
9,XBLNR,26489925,26489925,100.0,0,0.0
10,STCEG_L,26489925,26489925,100.0,0,0.0
11,STCEG_H,26489925,26489925,100.0,0,0.0
12,LANDTX,26489925,26489925,100.0,0,0.0
13,KAPPL,26489925,26489925,100.0,0,0.0
14,FKART_AB,26489925,26489925,100.0,0,0.0
15,VBUND,26489925,26489925,100.0,0,0.0
16,BSTNK_VF,26489925,26489925,100.0,0,0.0
17,HITYP_PR,26489925,26489925,100.0,0,0.0
18,CMKUF,26489925,26489925,100.0,0,0.0
19,CMWAE,26489925,26489925,100.0,0,0.0
20,KNKLI,26489925,26489925,100.0,0,0.0
21,KKBER,26489925,26489925,100.0,0,0.0
22,SPART,26489925,26489925,100.0,0,0.0
23,MANSP,26489925,26489925,100.0,0,0.0
24,MSCHL,26489925,26489925,100.0,0,0.0
25,KURST,26489925,26489925,100.0,0,0.0
26,FKDAT_RL,26489925,26489925,100.0,0,0.0
27,FKART_RL,26489925,26489925,100.0,0,0.0
28,LCNUM,26489925,26489925,100.0,0,0.0
29,KURRF_DAT,26489925,26489925,100.0,0,0.0
30,SFAKN,26489925,26489925,100.0,0,0.0
31,AKWAE,26489925,26489925,100.0,0,0.0
32,INCO3_L,26489925,26489925,100.0,0,0.0
33,INCO2_L,26489925,26489925,100.0,0,0.0
34,INCOV,26489925,26489925,100.0,0,0.0
35,J_1TPBUPL,26489925,26489925,100.0,0,0.0
36,SPPORD,26489925,26489925,100.0,0,0.0
37,SPPAYM,26489925,26489925,100.0,0,0.0
38,MNDVG,26489925,26489925,100.0,0,0.0
39,SEPON,26489925,26489925,100.0,0,0.0
40,PAY_TYPE,26489925,26489925,100.0,0,0.0
41,MNDID,26489925,26489925,100.0,0,0.0
42,DPC_REL,26489925,26489925,100.0,0,0.0
43,VBTYP_EXT,26489925,26489925,100.0,0,0.0
44,STGRD,26489925,26489925,100.0,0,0.0
45,FKTYP_CRM,26489925,26489925,100.0,0,0.0
46,FK_SOURCE_SYS,26489925,26489925,100.0,0,0.0
47,VTREF,26489925,26489925,100.0,0,0.0
48,SPE_BILLING_IND,26489925,26489925,100.0,0,0.0
49,NRZAS,26489925,26489925,100.0,0,0.0
50,FKK_DOCSTAT,26489925,26489925,100.0,0,0.0
51,VKONT,26489925,26489925,100.0,0,0.0
52,BUPLA,26489925,26489925,100.0,0,0.0
53,NUMPG,26489925,26489925,100.0,0,0.0
54,BVTYP,26489925,26489925,100.0,0,0.0
55,KIDNO,26489925,26489925,100.0,0,0.0
56,AKKUR,26489925,26489925,100.0,0,0.0
57,KNUMA,26489925,26489925,100.0,0,0.0
58,AEDAT,26489925,26489925,100.0,0,0.0
59,VBELN,26489925,26489925,100.0,0,0.0
60,ZTERM,26489925,26489925,100.0,0,0.0
61,VALTG,26489925,26489925,100.0,0,0.0
62,CPKUR,26489925,26489925,100.0,0,0.0
63,KURRF,26489925,26489925,100.0,0,0.0
64,MRNKZ,26489925,26489925,100.0,0,0.0
65,RFBSK,26489925,26489925,100.0,0,0.0
66,EXPKZ,26489925,26489925,100.0,0,0.0
67,INCO2,26489925,26489925,100.0,0,0.0
68,INCO1,26489925,26489925,100.0,0,0.0
69,PLTYP,26489925,26489925,100.0,0,0.0
70,BZIRK,26489925,26489925,100.0,0,0.0
71,KDGRP,26489925,26489925,100.0,0,0.0
72,KONDA,26489925,26489925,100.0,0,0.0
73,POPER,26489925,26489925,100.0,0,0.0
74,GJAHR,26489925,26489925,100.0,0,0.0
75,BELNR,26489925,26489925,100.0,0,0.0
76,FKDAT,26489925,26489925,100.0,0,0.0
77,VSBED,26489925,26489925,100.0,0,0.0
78,KNUMV,26489925,26489925,100.0,0,0.0
79,KALSM,26489925,26489925,100.0,0,0.0
80,VTWEG,26489925,26489925,100.0,0,0.0
81,VKORG,26489925,26489925,100.0,0,0.0
82,WAERK,26489925,26489925,100.0,0,0.0
83,VBTYP,26489925,26489925,100.0,0,0.0
84,FKTYP,26489925,26489925,100.0,0,0.0
85,FKART,26489925,26489925,100.0,0,0.0
86,VALDT,26489925,26489925,100.0,0,0.0
87,ZLSCH,26489925,26489925,100.0,0,0.0
88,STCEG,26489925,26489925,100.0,0,0.0
89,KTGRD,26489925,26489925,100.0,0,0.0
90,EXNUM,26489925,26489925,100.0,0,0.0
91,STWAE,26489925,26489925,100.0,0,0.0
92,MABER,26489925,26489925,100.0,0,0.0
93,KUNAG,26489925,26489925,100.0,0,0.0
94,KUNRG,26489925,26489925,100.0,0,0.0
95,STAFO,26489925,26489925,100.0,0,0.0
96,ERDAT,26489925,26489925,100.0,0,0.0
97,ERZET,26489925,26489925,100.0,0,0.0
98,ERNAM,26489925,26489925,100.0,0,0.0
99,ZUKRI,26489925,26489925,100.0,0,0.0
100,NETWR,26489925,26489925,100.0,0,0.0
101,TAXK9,26489925,26489925,100.0,0,0.0
102,TAXK8,26489925,26489925,100.0,0,0.0
103,TAXK7,26489925,26489925,100.0,0,0.0
104,TAXK6,26489925,26489925,100.0,0,0.0
105,TAXK5,26489925,26489925,100.0,0,0.0
106,TAXK4,26489925,26489925,100.0,0,0.0
107,TAXK3,26489925,26489925,100.0,0,0.0
108,TAXK2,26489925,26489925,100.0,0,0.0
109,TAXK1,26489925,26489925,100.0,0,0.0
110,BUKRS,26489925,26489925,100.0,0,0.0
111,CITYC,26489925,26489925,100.0,0,0.0
112,COUNC,26489925,26489925,100.0,0,0.0
113,REGIO,26489925,26489925,100.0,0,0.0
114,LAND1,26489925,26489925,100.0,0,0.0
115,src_commit_time,26489925,26489925,100.0,0,0.0
