Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,170,170,100.0,0,0.0
2,mandt,170,170,100.0,0,0.0
3,parid,170,170,100.0,0,0.0
4,vrwrt,170,170,100.0,0,0.0
5,fldpl,170,170,100.0,0,0.0
6,fldfa,170,170,100.0,0,0.0
7,dimen,170,170,100.0,0,0.0
8,unit,170,170,100.0,0,0.0
9,value_def,170,170,100.0,0,0.0
10,vgfld,170,170,100.0,0,0.0
11,vkalk,170,170,100.0,0,0.0
12,vkapa,170,170,100.0,0,0.0
13,vkapf,170,170,100.0,0,0.0
14,vterm,170,170,100.0,0,0.0
15,src_commit_time,170,170,100.0,0,0.0
