Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,73022,73022,100.0,0,0.0
2,mandt,73022,73022,100.0,0,0.0
3,banks,73022,73022,100.0,0,0.0
4,bankl,73022,73022,100.0,0,0.0
5,bankn,73022,73022,100.0,0,0.0
6,bkont,73022,73022,100.0,0,0.0
7,iban,73022,73022,100.0,0,0.0
8,valid_from,73022,73022,100.0,0,0.0
9,ernam,73022,73022,100.0,0,0.0
10,erdat,73022,73022,100.0,0,0.0
11,tabname,73022,73022,100.0,0,0.0
12,tabkey,73022,73022,100.0,0,0.0
13,src_commit_time,73022,73022,100.0,0,0.0
