Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,232,232,100.0,0,0.0
2,mandt,232,232,100.0,0,0.0
3,stacur,232,232,100.0,0,0.0
4,stadis,232,232,100.0,0,0.0
5,stavol,232,232,100.0,0,0.0
6,stagew,232,232,100.0,0,0.0
7,bukrs,232,232,100.0,0,0.0
8,tpstx3,232,232,100.0,0,0.0
9,tpstx2,232,232,100.0,0,0.0
10,tpstx1,232,232,100.0,0,0.0
11,tpssf,232,232,100.0,0,0.0
12,sttrg,232,232,100.0,0,0.0
13,traend,232,232,100.0,0,0.0
14,nketp,232,232,100.0,0,0.0
15,kschl,232,232,100.0,0,0.0
16,vtpart,232,232,100.0,0,0.0
17,vtparn,232,232,100.0,0,0.0
18,tpsid,232,232,100.0,0,0.0
19,adrnr,232,232,100.0,0,0.0
20,fabkl,232,232,100.0,0,0.0
21,tplst,232,232,100.0,0,0.0
22,src_commit_time,232,232,100.0,0,0.0
