Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,1383,1383,100.0,0,0.0
2,effec,1383,1383,100.0,0,0.0
3,uveib,1383,1383,100.0,0,0.0
4,acdatv,1383,1383,100.0,0,0.0
5,rrrel,1383,1383,100.0,0,0.0
6,faktf,1383,1383,100.0,0,0.0
7,scheme_vf,1383,1383,100.0,0,0.0
8,scheme_rma,1383,1383,100.0,0,0.0
9,ffprf,1383,1383,100.0,0,0.0
10,rderl,1383,1383,100.0,0,0.0
11,oibcst,1383,1383,100.0,0,0.0
12,stdte,1383,1383,100.0,0,0.0
13,segal,1383,1383,100.0,0,0.0
14,rktio,1383,1383,100.0,0,0.0
15,wkmat,1383,1383,100.0,0,0.0
16,ltypv,1383,1383,100.0,0,0.0
17,ltypa,1383,1383,100.0,0,0.0
18,typfd,1383,1383,100.0,0,0.0
19,oibom,1383,1383,100.0,0,0.0
20,oiuserexit,1383,1383,100.0,0,0.0
21,excop,1383,1383,100.0,0,0.0
22,fsh_vass_detc,1383,1383,100.0,0,0.0
23,spdtp,1383,1383,100.0,0,0.0
24,spdipo,1383,1383,100.0,0,0.0
25,update_so_on_conf_po,1383,1383,100.0,0,0.0
26,reason_for_rej,1383,1383,100.0,0,0.0
27,auto_rejection,1383,1383,100.0,0,0.0
28,enh_rej_logic,1383,1383,100.0,0,0.0
29,fsh_autodeloc,1383,1383,100.0,0,0.0
30,fsh_seadet,1383,1383,100.0,0,0.0
31,revsp,1383,1383,100.0,0,0.0
32,mill_se_kknmt,1383,1383,100.0,0,0.0
33,ism_se_planning,1383,1383,100.0,0,0.0
34,lvart,1383,1383,100.0,0,0.0
35,rbacontrol,1383,1383,100.0,0,0.0
36,mill_batch_sel_d,1383,1383,100.0,0,0.0
37,mill_batch_ref,1383,1383,100.0,0,0.0
38,revevtyp,1383,1383,100.0,0,0.0
39,svgng,1383,1383,100.0,0,0.0
40,chaut,1383,1383,100.0,0,0.0
41,mandt,1383,1383,100.0,0,0.0
42,strum,1383,1383,100.0,0,0.0
43,txn08,1383,1383,100.0,0,0.0
44,erlre,1383,1383,100.0,0,0.0
45,shell,1383,1383,100.0,0,0.0
46,faksp,1383,1383,100.0,0,0.0
47,feldp,1383,1383,100.0,0,0.0
48,kowrr,1383,1383,100.0,0,0.0
49,evrwr,1383,1383,100.0,0,0.0
50,aswpa,1383,1383,100.0,0,0.0
51,kderl,1383,1383,100.0,0,0.0
52,stuli,1383,1383,100.0,0,0.0
53,psgrp,1383,1383,100.0,0,0.0
54,pargr,1383,1383,100.0,0,0.0
55,posgr,1383,1383,100.0,0,0.0
56,prsfd,1383,1383,100.0,0,0.0
57,fkrel,1383,1383,100.0,0,0.0
58,pstyv,1383,1383,100.0,0,0.0
59,diafm,1383,1383,100.0,0,0.0
60,txtgr,1383,1383,100.0,0,0.0
61,fpart,1383,1383,100.0,0,0.0
62,stgap,1383,1383,100.0,0,0.0
63,alekz,1383,1383,100.0,0,0.0
64,meng1,1383,1383,100.0,0,0.0
65,stsma,1383,1383,100.0,0,0.0
66,strat,1383,1383,100.0,0,0.0
67,cmpnt,1383,1383,100.0,0,0.0
68,sobkz,1383,1383,100.0,0,0.0
69,kalsm,1383,1383,100.0,0,0.0
70,eqmat,1383,1383,100.0,0,0.0
71,posar,1383,1383,100.0,0,0.0
72,shkzg,1383,1383,100.0,0,0.0
73,fehgr,1383,1383,100.0,0,0.0
74,kompp,1383,1383,100.0,0,0.0
75,gwrel,1383,1383,100.0,0,0.0
76,eterl,1383,1383,100.0,0,0.0
77,ernam,1383,1383,100.0,0,0.0
78,lfrel,1383,1383,100.0,0,0.0
79,src_commit_time,1383,1383,100.0,0,0.0
