Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,287,287,100.0,0,0.0
2,j_1acpdel,287,287,100.0,0,0.0
3,oiinvcyc2,287,287,100.0,0,0.0
4,oiinvcyc1,287,287,100.0,0,0.0
5,oifeepd,287,287,100.0,0,0.0
6,oicinpd,287,287,100.0,0,0.0
7,ism_xkrvo,287,287,100.0,0,0.0
8,vbtyp_ext,287,287,100.0,0,0.0
9,fkart_mev_reset,287,287,100.0,0,0.0
10,uveib,287,287,100.0,0,0.0
11,j_1ainvref,287,287,100.0,0,0.0
12,oiinvcyc4,287,287,100.0,0,0.0
13,xkoiv,287,287,100.0,0,0.0
14,kalsmcd,287,287,100.0,0,0.0
15,kalsmcc,287,287,100.0,0,0.0
16,kalsmcb,287,287,100.0,0,0.0
17,kalsmca,287,287,100.0,0,0.0
18,xvalgs,287,287,100.0,0,0.0
19,xfilkd,287,287,100.0,0,0.0
20,blart,287,287,100.0,0,0.0
21,oiinvcyc3,287,287,100.0,0,0.0
22,oiinvcyc5,287,287,100.0,0,0.0
23,fktyp,287,287,100.0,0,0.0
24,oic_fkart,287,287,100.0,0,0.0
25,oiindcm,287,287,100.0,0,0.0
26,oiinvapp,287,287,100.0,0,0.0
27,oiabalan,287,287,100.0,0,0.0
28,oiamwofi,287,287,100.0,0,0.0
29,oibtcexit,287,287,100.0,0,0.0
30,oinetrpt,287,287,100.0,0,0.0
31,oifinexit,287,287,100.0,0,0.0
32,oiselexit,287,287,100.0,0,0.0
33,oic_errha,287,287,100.0,0,0.0
34,oiinvcyc6,287,287,100.0,0,0.0
35,oic_accval,287,287,100.0,0,0.0
36,oic_dicntr,287,287,100.0,0,0.0
37,oic_diffin,287,287,100.0,0,0.0
38,oiptrmex,287,287,100.0,0,0.0
39,oinetexit,287,287,100.0,0,0.0
40,oiinvcyc9,287,287,100.0,0,0.0
41,oiinvcyc8,287,287,100.0,0,0.0
42,oiinvcyc7,287,287,100.0,0,0.0
43,xnegp,287,287,100.0,0,0.0
44,j_1btdcol,287,287,100.0,0,0.0
45,mandt,287,287,100.0,0,0.0
46,trvog,287,287,100.0,0,0.0
47,txtgr,287,287,100.0,0,0.0
48,fkarts,287,287,100.0,0,0.0
49,kalsmc,287,287,100.0,0,0.0
50,pargp,287,287,100.0,0,0.0
51,pargk,287,287,100.0,0,0.0
52,ernam,287,287,100.0,0,0.0
53,vbtyp,287,287,100.0,0,0.0
54,txn08,287,287,100.0,0,0.0
55,rfbfk,287,287,100.0,0,0.0
56,kalsm,287,287,100.0,0,0.0
57,umfng,287,287,100.0,0,0.0
58,uevor,287,287,100.0,0,0.0
59,kunn0,287,287,100.0,0,0.0
60,incpo,287,287,100.0,0,0.0
61,numke,287,287,100.0,0,0.0
62,numki,287,287,100.0,0,0.0
63,kopgr,287,287,100.0,0,0.0
64,fkart,287,287,100.0,0,0.0
65,kappl,287,287,100.0,0,0.0
66,kschl,287,287,100.0,0,0.0
67,j_1btdidl,287,287,100.0,0,0.0
68,hityp_pr,287,287,100.0,0,0.0
69,j_1btdcoh,287,287,100.0,0,0.0
70,j_1btdidh,287,287,100.0,0,0.0
71,j_1bmainpa,287,287,100.0,0,0.0
72,j_1bnfrel,287,287,100.0,0,0.0
73,xblnr_fi_s,287,287,100.0,0,0.0
74,ordnr_fi_s,287,287,100.0,0,0.0
75,grbed_s,287,287,100.0,0,0.0
76,fkart_ab,287,287,100.0,0,0.0
77,txtlf,287,287,100.0,0,0.0
78,stafo,287,287,100.0,0,0.0
79,relep,287,287,100.0,0,0.0
80,fkart_rl,287,287,100.0,0,0.0
81,borvf,287,287,100.0,0,0.0
82,kalsmbp,287,287,100.0,0,0.0
83,stati,287,287,100.0,0,0.0
84,txtgr_p,287,287,100.0,0,0.0
85,kalvg,287,287,100.0,0,0.0
86,kvslv,287,287,100.0,0,0.0
87,src_commit_time,287,287,100.0,0,0.0
