Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,198,198,100.0,0,0.0
2,j_1adoccls,198,198,100.0,0,0.0
3,spofi,198,198,100.0,0,0.0
4,dsfad,198,198,100.0,0,0.0
5,dbtch,198,198,100.0,0,0.0
6,uveib,198,198,100.0,0,0.0
7,tsegtp,198,198,100.0,0,0.0
8,rfpl_sw,198,198,100.0,0,0.0
9,exclg,198,198,100.0,0,0.0
10,spe_numkt,198,198,100.0,0,0.0
11,excem,198,198,100.0,0,0.0
12,excbc,198,198,100.0,0,0.0
13,bzops,198,198,100.0,0,0.0
14,regtb,198,198,100.0,0,0.0
15,pm_item_gen,198,198,100.0,0,0.0
16,averp,198,198,100.0,0,0.0
17,oideldcm,198,198,100.0,0,0.0
18,spe_nr_recycling,198,198,100.0,0,0.0
19,fehgr,198,198,100.0,0,0.0
20,edi_weightvol,198,198,100.0,0,0.0
21,fsh_vass_corr,198,198,100.0,0,0.0
22,fsh_vass_kalsm,198,198,100.0,0,0.0
23,fsh_vass_act,198,198,100.0,0,0.0
24,fsh_audeloc,198,198,100.0,0,0.0
25,msr_fkara,198,198,100.0,0,0.0
26,spe_enable_valid,198,198,100.0,0,0.0
27,tdspras,198,198,100.0,0,0.0
28,borgr_lifex_must,198,198,100.0,0,0.0
29,tdid,198,198,100.0,0,0.0
30,hold_data,198,198,100.0,0,0.0
31,borgr_sodet,198,198,100.0,0,0.0
32,borgr_lifex_edia,198,198,100.0,0,0.0
33,borgr_lifex_eedi,198,198,100.0,0,0.0
34,borgr_lifex_unq,198,198,100.0,0,0.0
35,lnspl,198,198,100.0,0,0.0
36,kalsp,198,198,100.0,0,0.0
37,mandt,198,198,100.0,0,0.0
38,numkirule,198,198,100.0,0,0.0
39,reggr,198,198,100.0,0,0.0
40,pobed,198,198,100.0,0,0.0
41,daart,198,198,100.0,0,0.0
42,aufer,198,198,100.0,0,0.0
43,pargr,198,198,100.0,0,0.0
44,incpo,198,198,100.0,0,0.0
45,numke,198,198,100.0,0,0.0
46,waaus,198,198,100.0,0,0.0
47,numki,198,198,100.0,0,0.0
48,umfng,198,198,100.0,0,0.0
49,txn08,198,198,100.0,0,0.0
50,uevor,198,198,100.0,0,0.0
51,kopgr,198,198,100.0,0,0.0
52,lfart,198,198,100.0,0,0.0
53,reglg,198,198,100.0,0,0.0
54,routf,198,198,100.0,0,0.0
55,neute,198,198,100.0,0,0.0
56,cmgrk,198,198,100.0,0,0.0
57,excok,198,198,100.0,0,0.0
58,profidnetz,198,198,100.0,0,0.0
59,tdiix,198,198,100.0,0,0.0
60,trspg,198,198,100.0,0,0.0
61,qherk,198,198,100.0,0,0.0
62,cmgrw,198,198,100.0,0,0.0
63,cmgrl,198,198,100.0,0,0.0
64,vbtyp,198,198,100.0,0,0.0
65,stgak,198,198,100.0,0,0.0
66,kschl,198,198,100.0,0,0.0
67,kalsm,198,198,100.0,0,0.0
68,kappl,198,198,100.0,0,0.0
69,ernam,198,198,100.0,0,0.0
70,txtgr,198,198,100.0,0,0.0
71,src_commit_time,198,198,100.0,0,0.0
