Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,25,25,100.0,0,0.0
2,mandt,25,25,100.0,0,0.0
3,jspip,25,25,100.0,0,0.0
4,jsprp,25,25,100.0,0,0.0
5,jspog,25,25,100.0,0,0.0
6,jspqp,25,25,100.0,0,0.0
7,wstor,25,25,100.0,0,0.0
8,wrepl,25,25,100.0,0,0.0
9,wauft,25,25,100.0,0,0.0
10,lifsp,25,25,100.0,0,0.0
11,spvbl,25,25,100.0,0,0.0
12,spvbk,25,25,100.0,0,0.0
13,spvbj,25,25,100.0,0,0.0
14,spvbi,25,25,100.0,0,0.0
15,spvbh,25,25,100.0,0,0.0
16,spvbg,25,25,100.0,0,0.0
17,spvbf,25,25,100.0,0,0.0
18,spvbe,25,25,100.0,0,0.0
19,spvbd,25,25,100.0,0,0.0
20,spvbc,25,25,100.0,0,0.0
21,spvbb,25,25,100.0,0,0.0
22,spvba,25,25,100.0,0,0.0
23,vmsta,25,25,100.0,0,0.0
24,src_commit_time,25,25,100.0,0,0.0
