Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,32,32,100.0,0,0.0
2,trinf_ueb,32,32,100.0,0,0.0
3,borgr_auto_reg,32,32,100.0,0,0.0
4,borgr_proctyp,32,32,100.0,0,0.0
5,vtdwm,32,32,100.0,0,0.0
6,kzhulfr,32,32,100.0,0,0.0
7,pmode_nd,32,32,100.0,0,0.0
8,pmode_vd,32,32,100.0,0,0.0
9,termin_vlf,32,32,100.0,0,0.0
10,borgr_exti1_unq,32,32,100.0,0,0.0
11,koprf,32,32,100.0,0,0.0
12,tsegtp,32,32,100.0,0,0.0
13,planning_profile,32,32,100.0,0,0.0
14,ten_actprf,32,32,100.0,0,0.0
15,tbg_actprf,32,32,100.0,0,0.0
16,len_actprf,32,32,100.0,0,0.0
17,borgr_auto_len,32,32,100.0,0,0.0
18,borgr_exti1_must,32,32,100.0,0,0.0
19,reg_actprf,32,32,100.0,0,0.0
20,borgr_signi_eedi,32,32,100.0,0,0.0
21,borgr_asn_not_ex,32,32,100.0,0,0.0
22,borgr_tpbez_edia,32,32,100.0,0,0.0
23,borgr_tpbez_eedi,32,32,100.0,0,0.0
24,borgr_tpbez_must,32,32,100.0,0,0.0
25,borgr_tpbez_unq,32,32,100.0,0,0.0
26,borgr_signi_edia,32,32,100.0,0,0.0
27,borgr_signi_must,32,32,100.0,0,0.0
28,borgr_exti1_eedi,32,32,100.0,0,0.0
29,borgr_signi_unq,32,32,100.0,0,0.0
30,borgr_exti2_edia,32,32,100.0,0,0.0
31,borgr_exti2_eedi,32,32,100.0,0,0.0
32,borgr_exti2_must,32,32,100.0,0,0.0
33,borgr_exti2_unq,32,32,100.0,0,0.0
34,borgr_exti1_edia,32,32,100.0,0,0.0
35,lbg_actprf,32,32,100.0,0,0.0
36,dis_actprf,32,32,100.0,0,0.0
37,mandt,32,32,100.0,0,0.0
38,abwst,32,32,100.0,0,0.0
39,kalsm,32,32,100.0,0,0.0
40,laufk,32,32,100.0,0,0.0
41,vsanl,32,32,100.0,0,0.0
42,vsavl,32,32,100.0,0,0.0
43,vsart,32,32,100.0,0,0.0
44,bfart,32,32,100.0,0,0.0
45,abfer,32,32,100.0,0,0.0
46,txtgr,32,32,100.0,0,0.0
47,sterm,32,32,100.0,0,0.0
48,kopgr,32,32,100.0,0,0.0
49,numke,32,32,100.0,0,0.0
50,numki,32,32,100.0,0,0.0
51,vbtyp,32,32,100.0,0,0.0
52,shtyp,32,32,100.0,0,0.0
53,kappl,32,32,100.0,0,0.0
54,pargr,32,32,100.0,0,0.0
55,chgdoc_shtyp,32,32,100.0,0,0.0
56,fkart,32,32,100.0,0,0.0
57,route_stag,32,32,100.0,0,0.0
58,frkrl_grp,32,32,100.0,0,0.0
59,frkrl_ump,32,32,100.0,0,0.0
60,frkrl_str,32,32,100.0,0,0.0
61,frkrl,32,32,100.0,0,0.0
62,stgta,32,32,100.0,0,0.0
63,abf_actprf,32,32,100.0,0,0.0
64,svtra,32,32,100.0,0,0.0
65,spedi_vlf,32,32,100.0,0,0.0
66,route_vlf,32,32,100.0,0,0.0
67,kschl,32,32,100.0,0,0.0
68,dtmev,32,32,100.0,0,0.0
69,dtmeg,32,32,100.0,0,0.0
70,profidnetz,32,32,100.0,0,0.0
71,src_commit_time,32,32,100.0,0,0.0
