Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,252495,252495,100.0,0,0.0
2,mandt,252495,252495,100.0,0,0.0
3,cct_attch_count,252495,252495,100.0,0,0.0
4,workitem_id,252495,252495,100.0,0,0.0
5,changed_at,252495,252495,100.0,0,0.0
6,changed_by,252495,252495,100.0,0,0.0
7,created_at,252495,252495,100.0,0,0.0
8,created_by,252495,252495,100.0,0,0.0
9,cct_duration,252495,252495,100.0,0,0.0
10,cct_time,252495,252495,100.0,0,0.0
11,xreached,252495,252495,100.0,0,0.0
12,cct_result,252495,252495,100.0,0,0.0
13,cct_type,252495,252495,100.0,0,0.0
14,cct_direction,252495,252495,100.0,0,0.0
15,cct_faxc,252495,252495,100.0,0,0.0
16,cct_fax,252495,252495,100.0,0,0.0
17,cct_phone,252495,252495,100.0,0,0.0
18,cct_email,252495,252495,100.0,0,0.0
19,cct_name,252495,252495,100.0,0,0.0
20,contact_key,252495,252495,100.0,0,0.0
21,coll_specialist,252495,252495,100.0,0,0.0
22,cct_id,252495,252495,100.0,0,0.0
23,coll_segment,252495,252495,100.0,0,0.0
24,customer,252495,252495,100.0,0,0.0
25,cct_guid,252495,252495,100.0,0,0.0
26,src_commit_time,252495,252495,100.0,0,0.0
