Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,16263533,16263533,100.0,0,0.0
2,overdue_amt_int2,16263533,16263533,100.0,0,0.0
3,rsm_time,16263533,16263533,100.0,0,0.0
4,rsm_date,16263533,16263533,100.0,0,0.0
5,last_pay_date,16263533,16263533,100.0,0,0.0
6,overdue_amt_int5,16263533,16263533,100.0,0,0.0
7,overdue_amt_int4,16263533,16263533,100.0,0,0.0
8,overdue_amt_int3,16263533,16263533,100.0,0,0.0
9,overdue_amt_int1,16263533,16263533,100.0,0,0.0
10,max_dunnlevel,16263533,16263533,100.0,0,0.0
11,due_amt_int5,16263533,16263533,100.0,0,0.0
12,due_amt_int4,16263533,16263533,100.0,0,0.0
13,due_amt_int3,16263533,16263533,100.0,0,0.0
14,due_amt_int2,16263533,16263533,100.0,0,0.0
15,due_amt_int1,16263533,16263533,100.0,0,0.0
16,currency,16263533,16263533,100.0,0,0.0
17,rsm_reason,16263533,16263533,100.0,0,0.0
18,last_dunndate,16263533,16263533,100.0,0,0.0
19,mandt,16263533,16263533,100.0,0,0.0
20,created_by,16263533,16263533,100.0,0,0.0
21,global_eval,16263533,16263533,100.0,0,0.0
22,xambig_ho,16263533,16263533,100.0,0,0.0
23,head_office,16263533,16263533,100.0,0,0.0
24,change_time,16263533,16263533,100.0,0,0.0
25,changed_by,16263533,16263533,100.0,0,0.0
26,create_time,16263533,16263533,100.0,0,0.0
27,grade_valid_to,16263533,16263533,100.0,0,0.0
28,credit_sgmnt,16263533,16263533,100.0,0,0.0
29,grade_method,16263533,16263533,100.0,0,0.0
30,grade,16263533,16263533,100.0,0,0.0
31,credit_risk_cls,16263533,16263533,100.0,0,0.0
32,credit_exposure,16263533,16263533,100.0,0,0.0
33,credit_rating,16263533,16263533,100.0,0,0.0
34,credit_limit,16263533,16263533,100.0,0,0.0
35,broken_amt,16263533,16263533,100.0,0,0.0
36,arranged_amt,16263533,16263533,100.0,0,0.0
37,dunned_amt,16263533,16263533,100.0,0,0.0
38,strategy,16263533,16263533,100.0,0,0.0
39,partner_desc,16263533,16263533,100.0,0,0.0
40,partner_id,16263533,16263533,100.0,0,0.0
41,max_sequence_id,16263533,16263533,100.0,0,0.0
42,percentage,16263533,16263533,100.0,0,0.0
43,valuation,16263533,16263533,100.0,0,0.0
44,strategy_version,16263533,16263533,100.0,0,0.0
45,status,16263533,16263533,100.0,0,0.0
46,disputed_amt,16263533,16263533,100.0,0,0.0
47,run_id,16263533,16263533,100.0,0,0.0
48,wl_item_date,16263533,16263533,100.0,0,0.0
49,coll_segment,16263533,16263533,100.0,0,0.0
50,coll_group,16263533,16263533,100.0,0,0.0
51,coll_specialist,16263533,16263533,100.0,0,0.0
52,workitem_id,16263533,16263533,100.0,0,0.0
53,partner_accno,16263533,16263533,100.0,0,0.0
54,partner_augrp,16263533,16263533,100.0,0,0.0
55,contact_name,16263533,16263533,100.0,0,0.0
56,contact_phone,16263533,16263533,100.0,0,0.0
57,cct_result,16263533,16263533,100.0,0,0.0
58,last_cct_time,16263533,16263533,100.0,0,0.0
59,calltimefrom,16263533,16263533,100.0,0,0.0
60,calltimeto,16263533,16263533,100.0,0,0.0
61,visitingtimefrom,16263533,16263533,100.0,0,0.0
62,visitingtimeto,16263533,16263533,100.0,0,0.0
63,total_amt,16263533,16263533,100.0,0,0.0
64,debit_amt,16263533,16263533,100.0,0,0.0
65,credit_amt,16263533,16263533,100.0,0,0.0
66,amt_collected,16263533,16263533,100.0,0,0.0
67,due_amt,16263533,16263533,100.0,0,0.0
68,overdue_amt,16263533,16263533,100.0,0,0.0
69,promised_amt,16263533,16263533,100.0,0,0.0
70,src_commit_time,16263533,16263533,100.0,0,0.0
