Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,224889,224889,100.0,0,0.0
2,client,224889,224889,100.0,0,0.0
3,paymnt_date,224889,224889,100.0,0,0.0
4,paymnt_amount,224889,224889,100.0,0,0.0
5,paymnt_curr,224889,224889,100.0,0,0.0
6,paymnt_timestamp,224889,224889,100.0,0,0.0
7,x_idx_revoked,224889,224889,100.0,0,0.0
8,idx_figure,224889,224889,100.0,0,0.0
9,idx_amount,224889,224889,100.0,0,0.0
10,idx_curr,224889,224889,100.0,0,0.0
11,idx_timestamp,224889,224889,100.0,0,0.0
12,sl_arr_wo,224889,224889,100.0,0,0.0
13,sl_arr_wo_amount,224889,224889,100.0,0,0.0
14,sl_slarr_w,224889,224889,100.0,0,0.0
15,sl_arr_w_amount,224889,224889,100.0,0,0.0
16,sales_vol,224889,224889,100.0,0,0.0
17,sales_max,224889,224889,100.0,0,0.0
18,col_sub_percent,224889,224889,100.0,0,0.0
19,col_sub_amount,224889,224889,100.0,0,0.0
20,paymnt_pguid,224889,224889,100.0,0,0.0
21,x_paymnt_revoked,224889,224889,100.0,0,0.0
22,ovdue_timestamp,224889,224889,100.0,0,0.0
23,dunn_curr,224889,224889,100.0,0,0.0
24,partner,224889,224889,100.0,0,0.0
25,logsys,224889,224889,100.0,0,0.0
26,credit_sgmnt,224889,224889,100.0,0,0.0
27,x_dunn_revoked,224889,224889,100.0,0,0.0
28,dunn_pguid,224889,224889,100.0,0,0.0
29,dunn_max_lv,224889,224889,100.0,0,0.0
30,dunn_amount,224889,224889,100.0,0,0.0
31,dunn_date,224889,224889,100.0,0,0.0
32,ovdue_curr,224889,224889,100.0,0,0.0
33,dunn_timestamp,224889,224889,100.0,0,0.0
34,dunn_counter,224889,224889,100.0,0,0.0
35,ovdue_pguid,224889,224889,100.0,0,0.0
36,x_ovdue_revoked,224889,224889,100.0,0,0.0
37,ovdue_net_date,224889,224889,100.0,0,0.0
38,ovdue_days,224889,224889,100.0,0,0.0
39,ovdue_amount,224889,224889,100.0,0,0.0
40,src_commit_time,224889,224889,100.0,0,0.0
