Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,31945423,31945423,100.0,0,0.0
2,kannr,31945423,31945423,100.0,0,0.0
3,kzfme,31945423,31945423,100.0,0,0.0
4,knuma_ag,31945423,31945423,100.0,0,0.0
5,knuma_pi,31945423,31945423,100.0,0,0.0
6,wgru2,31945423,31945423,100.0,0,0.0
7,wgru1,31945423,31945423,100.0,0,0.0
8,kzbws,31945423,31945423,100.0,0,0.0
9,skopf,31945423,31945423,100.0,0,0.0
10,wktps,31945423,31945423,100.0,0,0.0
11,wktnr,31945423,31945423,100.0,0,0.0
12,j_1btxsdc,31945423,31945423,100.0,0,0.0
13,j_1btaxlw2,31945423,31945423,100.0,0,0.0
14,j_1btaxlw1,31945423,31945423,100.0,0,0.0
15,j_1bcfop,31945423,31945423,100.0,0,0.0
16,abges,31945423,31945423,100.0,0,0.0
17,abfor,31945423,31945423,100.0,0,0.0
18,lstanr,31945423,31945423,100.0,0,0.0
19,techs,31945423,31945423,100.0,0,0.0
20,mwsbp,31945423,31945423,100.0,0,0.0
21,msr_ret_reason,31945423,31945423,100.0,0,0.0
22,aufpl_olc,31945423,31945423,100.0,0,0.0
23,/bev1/srfund,31945423,31945423,100.0,0,0.0
24,trmrisk_relevant,31945423,31945423,100.0,0,0.0
25,nrab_knumh,31945423,31945423,100.0,0,0.0
26,msr_approv_block,31945423,31945423,100.0,0,0.0
27,msr_refund_code,31945423,31945423,100.0,0,0.0
28,sloctype,31945423,31945423,100.0,0,0.0
29,berid,31945423,31945423,100.0,0,0.0
30,stockloc,31945423,31945423,100.0,0,0.0
31,j_1btaxlw5,31945423,31945423,100.0,0,0.0
32,j_1btaxlw4,31945423,31945423,100.0,0,0.0
33,j_1btaxlw3,31945423,31945423,100.0,0,0.0
34,logsys_ext,31945423,31945423,100.0,0,0.0
35,pctrf,31945423,31945423,100.0,0,0.0
36,cmpre_flt,31945423,31945423,100.0,0,0.0
37,plavo,31945423,31945423,100.0,0,0.0
38,ferc_ind,31945423,31945423,100.0,0,0.0
39,mfrgr,31945423,31945423,100.0,0,0.0
40,klvar,31945423,31945423,100.0,0,0.0
41,kalnr,31945423,31945423,100.0,0,0.0
42,uepvw,31945423,31945423,100.0,0,0.0
43,prosa,31945423,31945423,100.0,0,0.0
44,vgtyp,31945423,31945423,100.0,0,0.0
45,mprok,31945423,31945423,100.0,0,0.0
46,magrv,31945423,31945423,100.0,0,0.0
47,nachl,31945423,31945423,100.0,0,0.0
48,anzsn,31945423,31945423,100.0,0,0.0
49,serail,31945423,31945423,100.0,0,0.0
50,koupd,31945423,31945423,100.0,0,0.0
51,cepok,31945423,31945423,100.0,0,0.0
52,cuobj_ch,31945423,31945423,100.0,0,0.0
53,cuobj,31945423,31945423,100.0,0,0.0
54,cmkua,31945423,31945423,100.0,0,0.0
55,sposn,31945423,31945423,100.0,0,0.0
56,kowrr,31945423,31945423,100.0,0,0.0
57,stadat,31945423,31945423,100.0,0,0.0
58,stman,31945423,31945423,100.0,0,0.0
59,ukonm,31945423,31945423,100.0,0,0.0
60,upmat,31945423,31945423,100.0,0,0.0
61,kosch,31945423,31945423,100.0,0,0.0
62,kalvar,31945423,31945423,100.0,0,0.0
63,kalsm_k,31945423,31945423,100.0,0,0.0
64,zschl_k,31945423,31945423,100.0,0,0.0
65,stpoz,31945423,31945423,100.0,0,0.0
66,exart,31945423,31945423,100.0,0,0.0
67,stlkn,31945423,31945423,100.0,0,0.0
68,stlty,31945423,31945423,100.0,0,0.0
69,chmvs,31945423,31945423,100.0,0,0.0
70,clint,31945423,31945423,100.0,0,0.0
71,knumh,31945423,31945423,100.0,0,0.0
72,prefe,31945423,31945423,100.0,0,0.0
73,aplzl_olc,31945423,31945423,100.0,0,0.0
74,kostl,31945423,31945423,100.0,0,0.0
