Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,250,250,100.0,0,0.0
2,XMCA,250,250,100.0,0,0.0
3,KUR2X,250,250,100.0,0,0.0
4,KURSX,250,250,100.0,0,0.0
5,VATDATE,250,250,100.0,0,0.0
6,LDGRP,250,250,100.0,0,0.0
7,PROPMANO,250,250,100.0,0,0.0
8,CTXKRS,250,250,100.0,0,0.0
9,TXKRS,250,250,100.0,0,0.0
10,REINDAT,250,250,100.0,0,0.0
11,AWSYS,250,250,100.0,0,0.0
12,AWKEY,250,250,100.0,0,0.0
13,AWTYP,250,250,100.0,0,0.0
14,XINVR_CURV,250,250,100.0,0,0.0
15,USUPD,250,250,100.0,0,0.0
16,USREL,250,250,100.0,0,0.0
17,USCMP,250,250,100.0,0,0.0
18,NUMPG,250,250,100.0,0,0.0
19,BRNCH,250,250,100.0,0,0.0
20,SUBN1_LVL,250,250,100.0,0,0.0
21,VBUND,250,250,100.0,0,0.0
22,RELTM,250,250,100.0,0,0.0
23,RELDT,250,250,100.0,0,0.0
24,KUR3X,250,250,100.0,0,0.0
25,EXCLUDE_FLAG,250,250,100.0,0,0.0
26,AUSBK,250,250,100.0,0,0.0
27,PSOTY,250,250,100.0,0,0.0
28,ZZUUID,250,250,100.0,0,0.0
29,CCNUM,250,250,100.0,0,0.0
30,CCINS,250,250,100.0,0,0.0
31,INWARDDT_HD,250,250,100.0,0,0.0
32,INWARDNO_HD,250,250,100.0,0,0.0
33,PYIBAN,250,250,100.0,0,0.0
34,PYBASDAT,250,250,100.0,0,0.0
35,PYBASNO,250,250,100.0,0,0.0
36,PYBASTYP,250,250,100.0,0,0.0
37,RESUBMISSION,250,250,100.0,0,0.0
38,PSOXWF,250,250,100.0,0,0.0
39,STGRD,250,250,100.0,0,0.0
40,DBBLG,250,250,100.0,0,0.0
41,PSOTM,250,250,100.0,0,0.0
42,PSODT,250,250,100.0,0,0.0
43,INTDATE,250,250,100.0,0,0.0
44,INTFORM,250,250,100.0,0,0.0
45,PSOFN,250,250,100.0,0,0.0
46,PSOSG,250,250,100.0,0,0.0
47,PSOKS,250,250,100.0,0,0.0
48,PSOAK,250,250,100.0,0,0.0
49,UPDTM,250,250,100.0,0,0.0
50,FRWEG,250,250,100.0,0,0.0
51,LOTKZ,250,250,100.0,0,0.0
52,XWFFR,250,250,100.0,0,0.0
53,XBSET,250,250,100.0,0,0.0
54,KOARS,250,250,100.0,0,0.0
55,FIKRS,250,250,100.0,0,0.0
56,BKTXT,250,250,100.0,0,0.0
57,XBLNR,250,250,100.0,0,0.0
58,BVORG,250,250,100.0,0,0.0
59,TCODE,250,250,100.0,0,0.0
60,USNAM,250,250,100.0,0,0.0
61,UPDDT,250,250,100.0,0,0.0
62,AEDAT,250,250,100.0,0,0.0
63,CPUTM,250,250,100.0,0,0.0
64,CPUDT,250,250,100.0,0,0.0
65,WWERT,250,250,100.0,0,0.0
66,MONAT,250,250,100.0,0,0.0
67,BUDAT,250,250,100.0,0,0.0
68,BLDAT,250,250,100.0,0,0.0
69,BLART,250,250,100.0,0,0.0
70,BSTAT,250,250,100.0,0,0.0
71,GJAHR,250,250,100.0,0,0.0
72,BELNR,250,250,100.0,0,0.0
73,BUKRS,250,250,100.0,0,0.0
74,XSNET,250,250,100.0,0,0.0
75,XBWAE,250,250,100.0,0,0.0
76,WAERS,250,250,100.0,0,0.0
77,CURT3,250,250,100.0,0,0.0
78,FRATH,250,250,100.0,0,0.0
79,XPRFG,250,250,100.0,0,0.0
80,XFRGE,250,250,100.0,0,0.0
81,VGJHR,250,250,100.0,0,0.0
82,VBLNR,250,250,100.0,0,0.0
83,PARGB,250,250,100.0,0,0.0
84,XMWST,250,250,100.0,0,0.0
85,KUTY3,250,250,100.0,0,0.0
86,KUTY2,250,250,100.0,0,0.0
87,CURT2,250,250,100.0,0,0.0
88,HWAER,250,250,100.0,0,0.0
89,UMRD3,250,250,100.0,0,0.0
90,UMRD2,250,250,100.0,0,0.0
91,BASW3,250,250,100.0,0,0.0
92,BASW2,250,250,100.0,0,0.0
93,KURS3,250,250,100.0,0,0.0
94,KURS2,250,250,100.0,0,0.0
95,KURSF,250,250,100.0,0,0.0
96,HWAE3,250,250,100.0,0,0.0
97,HWAE2,250,250,100.0,0,0.0
98,ADLS_LOADED_DATE,250,250,100.0,0,0.0
