Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,2907,2907,100.0,0,0.0
2,mandt,2907,2907,100.0,0,0.0
3,_dataaging,2907,2907,100.0,0,0.0
4,vendreg,2907,2907,100.0,0,0.0
5,vasdr,2907,2907,100.0,0,0.0
6,wimid,2907,2907,100.0,0,0.0
7,vasda,2907,2907,100.0,0,0.0
8,vdemdat,2907,2907,100.0,0,0.0
9,vvorein,2907,2907,100.0,0,0.0
10,vvorzeit,2907,2907,100.0,0,0.0
11,vbegreg,2907,2907,100.0,0,0.0
12,vbedkue,2907,2907,100.0,0,0.0
13,vbelkue,2907,2907,100.0,0,0.0
14,venddat,2907,2907,100.0,0,0.0
15,vkuegru,2907,2907,100.0,0,0.0
16,vkuepar,2907,2907,100.0,0,0.0
17,vwundat,2907,2907,100.0,0,0.0
18,veindat,2907,2907,100.0,0,0.0
19,vaktsch,2907,2907,100.0,0,0.0
20,vkuesch,2907,2907,100.0,0,0.0
21,vuntdat,2907,2907,100.0,0,0.0
22,vbegdat,2907,2907,100.0,0,0.0
23,vabndat,2907,2907,100.0,0,0.0
24,vinsdat,2907,2907,100.0,0,0.0
25,vlaufk,2907,2907,100.0,0,0.0
26,vlauez,2907,2907,100.0,0,0.0
27,vlaufz,2907,2907,100.0,0,0.0
28,vposn,2907,2907,100.0,0,0.0
29,vbeln,2907,2907,100.0,0,0.0
30,src_commit_time,2907,2907,100.0,0,0.0
