Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,10002871,79928979,100.0,0,0.0
2,dose_rate_bulk_u,10002871,79928979,100.0,0,0.0
3,spe_ident_03,10002871,79928979,100.0,0,0.0
4,spe_idart_04,10002871,79928979,100.0,0,0.0
5,spe_ident_04,10002871,79928979,100.0,0,0.0
6,spe_logpos,10002871,79928979,100.0,0,0.0
7,spe_chk_counter,10002871,79928979,100.0,0,0.0
8,epc1,10002871,79928979,100.0,0,0.0
9,epc2,10002871,79928979,100.0,0,0.0
10,package_cat,10002871,79928979,100.0,0,0.0
11,transp_index,10002871,79928979,100.0,0,0.0
12,crit_saf_index,10002871,79928979,100.0,0,0.0
13,flg_dg_package,10002871,79928979,100.0,0,0.0
14,dg_package_level,10002871,79928979,100.0,0,0.0
15,packcode,10002871,79928979,100.0,0,0.0
16,instr_encl_cat,10002871,79928979,100.0,0,0.0
17,mat_damaged_cl7,10002871,79928979,100.0,0,0.0
18,spe_idart_03,10002871,79928979,100.0,0,0.0
19,spe_ident_02,10002871,79928979,100.0,0,0.0
20,spe_idart_02,10002871,79928979,100.0,0,0.0
21,zul_aufl,10002871,79928979,100.0,0,0.0
22,adge_dg,10002871,79928979,100.0,0,0.0
23,adge_dgpr,10002871,79928979,100.0,0,0.0
24,uevel,10002871,79928979,100.0,0,0.0
25,packvorschr,10002871,79928979,100.0,0,0.0
26,packvorschr_st,10002871,79928979,100.0,0,0.0
27,labeltyp,10002871,79928979,100.0,0,0.0
28,status,10002871,79928979,100.0,0,0.0
29,spe_ident_01,10002871,79928979,100.0,0,0.0
30,hu_lgort,10002871,79928979,100.0,0,0.0
31,hu_system,10002871,79928979,100.0,0,0.0
32,spe_hdall,10002871,79928979,100.0,0,0.0
33,spe_vlstk,10002871,79928979,100.0,0,0.0
34,spe_deldec,10002871,79928979,100.0,0,0.0
35,spe_idart_01,10002871,79928979,100.0,0,0.0
36,dose_rate_bulk,10002871,79928979,100.0,0,0.0
37,dose_rate_pack,10002871,79928979,100.0,0,0.0
38,mandt,10002871,79928979,100.0,0,0.0
39,u_dose_rate_pack,10002871,79928979,100.0,0,0.0
40,rftyp,10002871,79928979,100.0,0,0.0
41,refer,10002871,79928979,100.0,0,0.0
42,ptmst,10002871,79928979,100.0,0,0.0
43,atmst,10002871,79928979,100.0,0,0.0
44,ydoor,10002871,79928979,100.0,0,0.0
45,ystga,10002871,79928979,100.0,0,0.0
46,urgfl,10002871,79928979,100.0,0,0.0
47,prflg,10002871,79928979,100.0,0,0.0
48,slflg,10002871,79928979,100.0,0,0.0
49,signi,10002871,79928979,100.0,0,0.0
50,ltext,10002871,79928979,100.0,0,0.0
51,tm_doc_id,10002871,79928979,100.0,0,0.0
52,tm_doc_tco,10002871,79928979,100.0,0,0.0
53,tm_doc_item_id,10002871,79928979,100.0,0,0.0
54,src_commit_time,10002871,79928979,100.0,0,0.0
55,rsncd,10002871,79928979,100.0,0,0.0
56,blind,10002871,79928979,100.0,0,0.0
57,sealn5,10002871,79928979,100.0,0,0.0
58,stats,10002871,79928979,100.0,0,0.0
59,leading_lwdg,10002871,79928979,100.0,0,0.0
60,max_gross_weight,10002871,79928979,100.0,0,0.0
61,u_max_gross_wght,10002871,79928979,100.0,0,0.0
62,lyard,10002871,79928979,100.0,0,0.0
63,ylccl,10002871,79928979,100.0,0,0.0
64,yloct,10002871,79928979,100.0,0,0.0
65,prrty,10002871,79928979,100.0,0,0.0
66,sealn4,10002871,79928979,100.0,0,0.0
67,fwagn,10002871,79928979,100.0,0,0.0
68,scacd,10002871,79928979,100.0,0,0.0
69,trnpd,10002871,79928979,100.0,0,0.0
70,sealn1,10002871,79928979,100.0,0,0.0
71,sealn2,10002871,79928979,100.0,0,0.0
72,sealn3,10002871,79928979,100.0,0,0.0
73,kzgvh,10002871,79928979,100.0,0,0.0
74,saprl,10002871,79928979,100.0,0,0.0
75,lgnum,10002871,79928979,100.0,0,0.0
76,wmsta,10002871,79928979,100.0,0,0.0
77,eruhr,10002871,79928979,100.0,0,0.0
78,aenam,10002871,79928979,100.0,0,0.0
79,aedat,10002871,79928979,100.0,0,0.0
