Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,29551352,29551352,100.0,0,0.0
2,fieldvalue,29551352,29551352,100.0,0,0.0
3,msgv4,29551352,29551352,100.0,0,0.0
4,msgv3,29551352,29551352,100.0,0,0.0
5,msgv2,29551352,29551352,100.0,0,0.0
6,msgv1,29551352,29551352,100.0,0,0.0
7,msgno,29551352,29551352,100.0,0,0.0
8,msgid,29551352,29551352,100.0,0,0.0
9,msgty,29551352,29551352,100.0,0,0.0
10,retry_err,29551352,29551352,100.0,0,0.0
11,repid,29551352,29551352,100.0,0,0.0
12,commnt,29551352,29551352,100.0,0,0.0
13,fieldname,29551352,29551352,100.0,0,0.0
14,mandt,29551352,29551352,100.0,0,0.0
15,dele_date,29551352,29551352,100.0,0,0.0
16,crea_time,29551352,29551352,100.0,0,0.0
17,crea_date,29551352,29551352,100.0,0,0.0
18,creator,29551352,29551352,100.0,0,0.0
19,objkey,29551352,29551352,100.0,0,0.0
20,timestamp,29551352,29551352,100.0,0,0.0
21,direction,29551352,29551352,100.0,0,0.0
22,counter,29551352,29551352,100.0,0,0.0
23,event,29551352,29551352,100.0,0,0.0
24,objtype,29551352,29551352,100.0,0,0.0
25,src_commit_time,29551352,29551352,100.0,0,0.0
