Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,98233,98233,100.0,0,0.0
2,datbi,98233,98233,100.0,0,0.0
3,change_logsys,98233,98233,100.0,0,0.0
4,change_repid,98233,98233,100.0,0,0.0
5,create_logsys,98233,98233,100.0,0,0.0
6,create_repid,98233,98233,100.0,0,0.0
7,changed_at,98233,98233,100.0,0,0.0
8,changed_on,98233,98233,100.0,0,0.0
9,changed_by,98233,98233,100.0,0,0.0
10,created_at,98233,98233,100.0,0,0.0
11,created_on,98233,98233,100.0,0,0.0
12,created_by,98233,98233,100.0,0,0.0
13,werks,98233,98233,100.0,0,0.0
14,datab,98233,98233,100.0,0,0.0
15,bsark,98233,98233,100.0,0,0.0
16,mandt,98233,98233,100.0,0,0.0
17,pstyv,98233,98233,100.0,0,0.0
18,prodh,98233,98233,100.0,0,0.0
19,matnr,98233,98233,100.0,0,0.0
20,auart,98233,98233,100.0,0,0.0
21,regio,98233,98233,100.0,0,0.0
22,land1,98233,98233,100.0,0,0.0
23,kunwe,98233,98233,100.0,0,0.0
24,kunag,98233,98233,100.0,0,0.0
25,cpg,98233,98233,100.0,0,0.0
26,vtweg,98233,98233,100.0,0,0.0
27,vkorg,98233,98233,100.0,0,0.0
28,rectype,98233,98233,100.0,0,0.0
29,src_commit_time,98233,98233,100.0,0,0.0
